tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yücel Sk.Parkı,İSTANBUL,MEŞATLIK DERE,GAZİOSMANPAŞA,SARIGÖL,28.924606543467668,41.055173711174994,151347797,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Dikiliağaç Parkı,İSTANBUL,KILIÇ,EYÜPSULTAN,İSLAMBEY,28.924606543467668,41.055173711174994,151347604,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Argaç Sokak Parkı,İSTANBUL,KILIÇ,EYÜPSULTAN,İSLAMBEY,28.924606543467668,41.055173711174994,151347592,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Sayalar Camii Bahçesi,İSTANBUL,GÖZTEPE,GAZİOSMANPAŞA,KARLITEPE,28.926989086935336,41.055173711174994,151347819,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Göçmenler Parkı,İSTANBUL,GÖZTEPE,GAZİOSMANPAŞA,KARLITEPE,28.926989086935336,41.055173711174994,151347822,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Dörtyol Camii Otoparkı,İSTANBUL,İHSAN ÇIKMAZI,GAZİOSMANPAŞA,KARLITEPE,28.92698915200708,41.05607202234999,151347821,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Gümüşsuyu Parkı,İSTANBUL,YAHYA GALİPBEY,GAZİOSMANPAŞA,KARLITEPE,28.929371728010622,41.05607202234999,151347600,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
İdris Bitlisi Parkı,İSTANBUL,BÜLBÜLDERE,EYÜPSULTAN,MERKEZ,28.930563129893095,41.05697033352498,151347565,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Şehit Tamer Vardar Parkı,İSTANBUL,BÜLBÜLDERE,GAZİOSMANPAŞA,PAZARİÇİ,28.931754434163537,41.05697033352498,151347845,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Mithatpaşa İlkokulu Bahçesi,İSTANBUL,ÇUKURTARLA,GAZİOSMANPAŞA,KARLITEPE,28.930563243778945,41.05786864469997,151347820,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Şehit Er Engin Danyıldız Parkı,İSTANBUL,TEMİZ,GAZİOSMANPAŞA,YILDIZTABYA,28.928180846762505,41.06056357822495,151347851,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
Karlıtepe Ortaokulu Bahçesi,İSTANBUL,KÖŞEGEN,GAZİOSMANPAŞA,YENİDOĞAN,28.92698954249944,41.06146188939994,151347872,"[<POLYGON ((28.931 41.061, 28.928 41.061, 28.926 41.062, 28.927 41.062, 28.92...>]"
