tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yavuz Sultan Selim Parkı,İSTANBUL,BUHARA,SULTANBEYLİ,MECİDİYE,29.29350363493013,40.961306411174995,151349251,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Mecidiye Parkı,İSTANBUL,BUHARA,SULTANBEYLİ,MECİDİYE,29.29350363493013,40.961306411174995,151349252,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Maraşal Fevzi Çakmak Ortaokulu Bahçesi,İSTANBUL,BUHARA,SULTANBEYLİ,MECİDİYE,29.29350363493013,40.961306411174995,151349326,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Adnan Menderes Parkı,İSTANBUL,BUHARA,SULTANBEYLİ,TURGUT REİS,29.29231422093855,40.96220472234999,151349304,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Erol Yüksel Ortaokulu Bahçesi,İSTANBUL,CEYHAN,SULTANBEYLİ,TURGUT REİS,29.289935295826318,40.96400134469997,151349325,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Turgut Reis Orman Alanı,İSTANBUL,KARAAĞAÇ,SULTANBEYLİ,TURGUT REİS,29.28993542537284,40.964899655874966,151349313,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Turgut Reis Parkı,İSTANBUL,OSMANGAZİ,SULTANBEYLİ,TURGUT REİS,29.283987270596967,40.96579796704996,151349301,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Atatürk Ortaokulu Bahçesi,İSTANBUL,SÖNMEZ,SULTANBEYLİ,TURGUT REİS,29.283987319181314,40.96669627822495,151349302,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Ahmet Yesevi Orman Toplanma Alanı,İSTANBUL,ÇAMLIK,SULTANBEYLİ,AHMET YESEVİ,29.28398756213607,40.971187834099915,151349327,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Çağdaş Yaşam Türkan Tutumluer İlkokulu Bahçesi,İSTANBUL,DEMİRKAPI,SULTANBEYLİ,AHMET YESEVİ,29.28279784048908,40.97208614527491,151349195,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Ertuğrul Gazi Ortaokulu Bahçesi,İSTANBUL,YILDIRIM,SULTANBEYLİ,BATTALGAZİ,29.28160813504861,40.97567938997488,151349232,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Ertuğrul Gazi Parkı,İSTANBUL,GÜNDÜZ,SULTANBEYLİ,BATTALGAZİ,29.281608183659372,40.97837432349986,151349226,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Türktelekom Şehit Murat Naiboğlu Anadolu Lisesi Bahçesi,İSTANBUL,BALIKÇI,SULTANBEYLİ,BATTALGAZİ,29.28636771829686,40.97837432349986,151349238,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Teferrüçtepe Mesire Alanı,İSTANBUL,OVAYURT,SULTANBEYLİ,BATTALGAZİ,29.288747485615602,40.97837432349986,151349312,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Esma Sultan Anaokulu Bahçesi,İSTANBUL,IŞIKLAR,SULTANBEYLİ,BATTALGAZİ,29.28874782593714,40.981069257024835,151349233,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Selçuklu Parkı,İSTANBUL,OVAYURT,SULTANBEYLİ,BATTALGAZİ,29.28279819696798,40.98196756819983,151349229,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
Battalgazi İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,IŞIKLAR,SULTANBEYLİ,BATTALGAZİ,29.28874793938793,40.98196756819983,151349231,"[<POLYGON ((29.283 40.971, 29.284 40.971, 29.284 40.971, 29.284 40.971, 29.28...>]"
