tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Türbe Sokak Parkı,İSTANBUL,ALINTERİ,PENDİK,GÜZELYALI,29.26318434146796,40.854726511174995,151350375,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Gülizar Zeki Obdan İlkokulu Bahçesi,İSTANBUL,ALINTERİ,PENDİK,GÜZELYALI,29.26318434146796,40.854726511174995,151350369,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Barbaros Hayrettin Paşa Parkı,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.26318434146796,40.854726511174995,151350251,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Sultan Süleyman Cami Bahçesi,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.259621538301772,40.85562482234999,151350253,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Öğretmenlerevi İlkokulu Bahçesi,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.259621538301772,40.85562482234999,151350255,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Şehit Astsubay Erdoğan Yeni Parkı,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.254871058941628,40.85742144469997,151350249,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Green Park Otel Önü Yeşil Alanı,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.254871058941628,40.85742144469997,151350258,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Pendik Askerlik Şubesi Karşısı Boş Alan,İSTANBUL,D 100,PENDİK,ÇAMÇEŞME,29.265561723366982,40.86191300057494,151350320,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Nene Hatun Parkı,İSTANBUL,KAİNAT,PENDİK,GÜZELYALI,29.275064808358888,40.86370962292492,151350363,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Alparslan Anadolu Lisesi Bahçesi,İSTANBUL,D 100,PENDİK,ÇAMÇEŞME,29.272690229415044,40.8664045564499,151350316,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Şeyh Edebali Parkı,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.258435956327386,40.86730286762489,151350248,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
11349 Ada 6 Parsel (Kamu Arazisi),İSTANBUL,SAHİL,PENDİK,KAYNARCA,29.25487241223138,40.868201178799886,151350300,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
11349 Ada 3 Parsel (Kamu Arazisi),İSTANBUL,SAHİL,PENDİK,KAYNARCA,29.251308835914923,40.86999780114987,151350252,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
İBB Kaynarca Parkı,İSTANBUL,SAHİL,PENDİK,DOĞU,29.24893300019104,40.870896112324864,151350297,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Yıldırım Beyazıt İlkokulu Bahçesi,İSTANBUL,FİDE,PENDİK,KAYNARCA,29.262000451241764,40.870896112324864,151350256,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Şehit Bekçi Şaban Aras Parkı,İSTANBUL,D 100,PENDİK,ÇAMÇEŞME,29.266752251623846,40.870896112324864,151350313,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Hacı Arif Kut Camii Bahçesi,İSTANBUL,SAHİL,PENDİK,DOĞU,29.247745066213042,40.87179442349986,151350294,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
Yıldırım Beyazıt Ortaokulu Bahçesi,İSTANBUL,AYDINLI YOLU,PENDİK,KAYNARCA,29.25962508295293,40.87359104584984,151350257,"[<POLYGON ((29.276 40.863, 29.276 40.864, 29.273 40.866, 29.271 40.868, 29.26...>, <POLYGON ((29.174 41.177, 29.172 41.177, 29.168 41.178, 29.167 41.178, 29.16...>]"
