tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mehmet Tahan Parkı,İSTANBUL,ZÜBEYDE HANIM,ZEYTİNBURNU,SÜMER,28.893514819822713,40.97964642234999,151349906,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Okullar Bölgesi,İSTANBUL,ZÜBEYDE HANIM,ZEYTİNBURNU,SÜMER,28.893514819822713,40.97964642234999,151349905,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Fidanlık TCDD Mülkü ve Kamu Alanı,İSTANBUL,AKSU,BAKIRKÖY,KARTALTEPE,28.893514819822713,40.97964642234999,151346297,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Yenidoğan Meydanı,İSTANBUL,ZÜBEYDE HANIM,ZEYTİNBURNU,NURİPAŞA,28.894704726430284,40.97964642234999,151349913,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Zübeyde Hanım Parkı (Marmaray Üstü Yeşil Alan),İSTANBUL,KENNEDY,ZEYTİNBURNU,KAZLIÇEŞME,28.89946435286057,40.97964642234999,151349907,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Bakırköy Anadolu Lisesi Bahçesi,İSTANBUL,İSTANBUL,BAKIRKÖY,YENİMAHALLE,28.89113502281366,40.98054473352498,151346283,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Abay İmam Hatip Lisesi Bahçesi,İSTANBUL,KENNEDY,ZEYTİNBURNU,KAZLIÇEŞME,28.906604246286882,40.98144304469997,151349890,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Şehit Er İlhan Yalçın Park,İSTANBUL,AKSU,BAKIRKÖY,OSMANİYE,28.893514965684158,40.982341355874965,151346243,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Zeytinburnu Stadı,İSTANBUL,ZÜBEYDE HANIM,ZEYTİNBURNU,TELSİZ,28.911365752983606,40.98683291174993,151349887,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Stad Parkı,İSTANBUL,ZÜBEYDE HANIM,ZEYTİNBURNU,TELSİZ,28.91374582553734,40.98683291174993,151349888,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Türkiye Basketbol Federasyonu Otoparkı,İSTANBUL,KENNEDY,ZEYTİNBURNU,KAZLIÇEŞME,28.917316680135333,40.988629534099914,151349893,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Yedikule Zindanları Açık Alanı,İSTANBUL,KENNEDY,FATİH,YEDİKULE,28.91850674883687,40.988629534099914,151347752,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Ayvansaray Üniversitesi Bahçesi,İSTANBUL,GENÇ OSMAN,ZEYTİNBURNU,KAZLIÇEŞME,28.91850713795929,40.98952784527491,151349891,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
Yedikule Sur Parkı 2,İSTANBUL,MERMER KULE,FATİH,YEDİKULE,28.918508305432276,40.992222778799885,151347790,"[<POLYGON ((28.904 40.985, 28.903 40.984, 28.902 40.984, 28.901 40.983, 28.9 ...>]"
