tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Menderes Bölge Parkı,İSTANBUL,KARATAY,ESENLER,MENDERES,28.87129642241623,41.042417511174996,151347323,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Hasip Dinçsoy İlkokulu Bahçesi,İSTANBUL,KARATAY,ESENLER,MENDERES,28.87129642241623,41.042417511174996,151347324,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Şehit Muhammet Aksu İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ÇİNÇİN DERE,ESENLER,FATİH,28.87129642241623,41.042417511174996,151347331,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Menderes Ortaokulu Bahçesi,İSTANBUL,KARATAY,ESENLER,MENDERES,28.87248746322164,41.042417511174996,151347325,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Türk-İsveç Kardeşlik İlkokulu Bahçesi,İSTANBUL,HAKKI BAŞAR,ESENLER,TUNA,28.87010541412576,41.04331582234999,151347288,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Kazım Karabekir İlkokulu Bahçesi.,İSTANBUL,1053.,ESENLER,KAZIM KARABEKİR,28.87248752825152,41.04331582234999,151347356,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Öz-De-Bir Ortaokulu Bahçesi,İSTANBUL,KARATAY,ESENLER,MENDERES,28.873678585314398,41.04331582234999,151347326,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Akşemsettin Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ÇİNÇİN DERE,ESENLER,FATİH,28.86891437332109,41.04421413352498,151347329,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Kazım Karabekir İmam Hatip Ortaokulu Bahçesi,İSTANBUL,1049.,ESENLER,KAZIM KARABEKİR,28.870105446642178,41.04421413352498,151439642,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
Atışalanı Caddesi Halkbank Karşısı Pazar Yeri,İSTANBUL,KAZIM KARABEKİR,ESENLER,MENDERES,28.878442959889796,41.04421413352498,151347327,"[<POLYGON ((28.868 41.046, 28.868 41.045, 28.869 41.045, 28.869 41.045, 28.86...>, <POLYGON ((29.11 41.049, 29.11 41.049, 29.11 41.048, 29.11 41.048, 29.11 41....>]"
