tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kırkçeşme Yürüyüş Parkı,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.91337443183232,41.073585311174995,151347886,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Şehit Gökhan Topçu Anadolu Lisesi Bahçesi,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.91337443183232,41.073585311174995,151347891,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
805 Sokak Parkı,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.91337443183232,41.073585311174995,151347835,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Yağlıdere Parkı,İSTANBUL,848.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.914566037137707,41.073585311174995,151347563,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Şelale Parkı,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.914566037137707,41.073585311174995,151347887,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Mustafa Parlakkılıç Mesire Alanı,İSTANBUL,GİRNE,EYÜPSULTAN,YEŞİLPINAR,28.916949394295926,41.07448362234999,151347581,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Gençlik Parkı,İSTANBUL,GİRNE,EYÜPSULTAN,YEŞİLPINAR,28.916949394295926,41.07448362234999,151347580,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Valide Sultan Parkı,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.908608075744457,41.07538193352498,151347883,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
23 Nisan Parkı,İSTANBUL,804.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.908608075744457,41.07538193352498,151347837,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Arman Polat Ortaokulu Bahçesi,İSTANBUL,805.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.910991351488914,41.07538193352498,151347840,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Şehit Komiser Bülent Üstün Parkı,İSTANBUL,805/2.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.91337462723337,41.07538193352498,151347836,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Sedat Balkanlı Spor Parkı,İSTANBUL,KEMAL ŞEKER,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.90741647044202,41.077178555874966,151347884,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Zafer Parkı,İSTANBUL,827.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.90741647044202,41.077178555874966,151347838,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Dede Korkut İlkokulu Bahçesi,İSTANBUL,914.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.909799860184062,41.07807686704996,151347841,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Fetih Gençlik Parkı,İSTANBUL,821.,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.908608238604483,41.079873489399944,151347844,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
Şehit Şerife Bacı Parkı,İSTANBUL,ŞÜKRAN,EYÜPSULTAN,YEŞİLPINAR,28.91575855441793,41.079873489399944,151347586,"[<POLYGON ((28.913 41.073, 28.914 41.073, 28.915 41.073, 28.916 41.073, 28.91...>, <POLYGON ((28.845 41.022, 28.845 41.022, 28.846 41.023, 28.846 41.023, 28.84...>]"
