tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Necip Fazıl Kısakürek Parkı,İSTANBUL,KUĞU,SANCAKTEPE,KEMAL TÜRKLER,29.21981173131361,40.99957271117499,151350513,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Genç Gelecek Spor Parkı,İSTANBUL,KUĞU,SANCAKTEPE,KEMAL TÜRKLER,29.21981173131361,40.99957271117499,151350516,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Abdurrahmangazi Parkı,İSTANBUL,BELDE,SANCAKTEPE,ABDURRAHMANGAZİ,29.21981173131361,40.99957271117499,151350445,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Ekin Halı Saha ve Yanı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,SARIGAZİ,29.218621529940407,41.000471022349984,151350529,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Sancaktepe Belediyesi 15 Temmuz Stadyumu,İSTANBUL,BELDE,SANCAKTEPE,ABDURRAHMANGAZİ,29.22219237739571,41.000471022349984,151350459,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Maçka Parkı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,KEMAL TÜRKLER,29.217431344796225,41.00226764469997,151350518,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Lalezar Parkı,İSTANBUL,EKİNÖZÜ,SANCAKTEPE,KEMAL TÜRKLER,29.221002289592448,41.00226764469997,151350517,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Şeker Portakalı Bahçesi,İSTANBUL,ŞEVKİBEY,SANCAKTEPE,KEMAL TÜRKLER,29.225763873819822,41.004064267049955,151350521,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Muhtar Hüseyin Göktaş Bahçesi,İSTANBUL,OSMANGAZİ,SANCAKTEPE,SARIGAZİ,29.21624112721608,41.00496257822495,151350525,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Çınarım Düğün Salonları Yanı,İSTANBUL,UYSAL,SANCAKTEPE,ATATÜRK,29.219812218040197,41.00496257822495,151350429,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Ahmet Yesevi Parkı,İSTANBUL,NUR,SANCAKTEPE,KEMAL TÜRKLER,29.22219305884382,41.00586088939994,151350514,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Osmangazi Parkı,İSTANBUL,SEHER,SANCAKTEPE,KEMAL TÜRKLER,29.223383438678653,41.00586088939994,151350515,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Serçe Çocuk Bahçesi,İSTANBUL,ZİVERBEY,SANCAKTEPE,KEMAL TÜRKLER,29.226954578183147,41.00586088939994,151350520,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Şehit Uğur Sağdıç Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,ATATÜRK,29.22338382815694,41.00855582292492,151350427,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
Kelebek Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,MERVE,29.22814554223541,41.00855582292492,151350388,"[<POLYGON ((29.214 41.008, 29.214 41.008, 29.214 41.008, 29.215 41.008, 29.21...>]"
