tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Barbaros 1186 Ada 24-25 Parsel Akaryakıt Alanı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,BARBAROS,28.83468124052303,41.03134751117499,151345847,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Şelaleli Park,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,KİRAZLI,28.83468124052303,41.03134751117499,151345792,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Gaziosmanpaşa Ortaokulu Bahçesi,İSTANBUL,CUMHURİYET,BAĞCILAR,GÜNEŞLİ,28.83468124052303,41.03134751117499,151345898,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Sağlık Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,BARBAROS,28.83587208104606,41.03134751117499,151345839,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Hoca Ahmet Yesevi Cami Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,KAZIM KARABEKİR,28.83825376209212,41.03134751117499,151345853,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
1191. Sokak Sokak Parkı,İSTANBUL,1199.,BAĞCILAR,KİRAZLI,28.83825376209212,41.03134751117499,151345790,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kirazlı Metro İstasyon Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,1185.,BAĞCILAR,KİRAZLI,28.83944460261515,41.03134751117499,151345797,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
294.Sokak Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,KAZIM KARABEKİR,28.84063544313818,41.03134751117499,151345854,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kiraz Bahçesi,İSTANBUL,1207.,BAĞCILAR,KİRAZLI,28.83587211354285,41.032245822349985,151345791,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kirazlı Aile Sağlık Merkez Parkı,İSTANBUL,1186.,BAĞCILAR,KİRAZLI,28.83944468385713,41.032245822349985,151345794,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
313. Sokak Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,KAZIM KARABEKİR,28.84301725417141,41.032245822349985,151345851,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
320 Sokak Kazım Karabekir İlköğretim Tesis Alanı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,KAZIM KARABEKİR,28.845398967714264,41.032245822349985,151345860,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Atatürk İlkokulu ve Bağcılar Mustafa Kemal Ortaokulu Bahçesi,İSTANBUL,1155.,BAĞCILAR,KİRAZLI,28.845398967714264,41.032245822349985,151345796,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kestane Bahçesi Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,YAVUZ SELİM,28.847780681257117,41.032245822349985,151345865,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Güneşli Mahalle Konağı Parkı,İSTANBUL,MAHMUTBEY,BAĞCILAR,GÜNEŞLİ,28.83468127302056,41.03314413352498,151345891,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Yunus Emre Parkı,İSTANBUL,1194.,BAĞCILAR,KİRAZLI,28.838253892082246,41.03314413352498,151345789,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Mevlana Celaladdin Rumi Parkı,İSTANBUL,1169.,BAĞCILAR,KİRAZLI,28.841826511143932,41.03314413352498,151345788,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Yavuz Selim Cami Yanı Çocuk Parkı,İSTANBUL,MEHMET AKİF,BAĞCILAR,YAVUZ SELİM,28.84659000322618,41.03314413352498,151345866,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kirazlı İlkokulu Bahçesi,İSTANBUL,1216.,BAĞCILAR,KİRAZLI,28.834681289270428,41.03404244469997,151345798,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kirazlı Mahalle Muhtarlığı Parkı,İSTANBUL,1187.,BAĞCILAR,KİRAZLI,28.839444846352144,41.03404244469997,151345795,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Kirazlı Merkez Cami Yanı Otopark,İSTANBUL,1218.,BAĞCILAR,KİRAZLI,28.834681305521034,41.03494075587496,151345801,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Güneşli Parkı,İSTANBUL,MAHMUTBEY,BAĞCILAR,GÜNEŞLİ,28.834681321772376,41.035839067049956,151345885,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Vakıflar Ortaokulu Bahçesi,İSTANBUL,MEVLANA,BAĞCILAR,KİRAZLI,28.843017774179014,41.035839067049956,151345799,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
Öznur Kahraman İmam Hatip Ortaokulu Bahçesi,İSTANBUL,1232.,BAĞCILAR,KİRAZLI,28.83706321407336,41.03673737822495,151345800,"[<POLYGON ((28.834 41.038, 28.834 41.036, 28.833 41.034, 28.834 41.033, 28.83...>]"
