tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çamlık Tel Boyu 2,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,ÇAMLIK,29.200935824239625,41.01385331117499,151347155,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Metin Göktepe Parkı,İSTANBUL,SEMİH SANCAR,SANCAKTEPE,MECLİS,29.200935824239625,41.01385331117499,151350433,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Yunus Emre Parkı,İSTANBUL,SEMİH SANCAR,SANCAKTEPE,MECLİS,29.200935824239625,41.01385331117499,151350432,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Kardelen Parkı,İSTANBUL,SEMİH SANCAR,SANCAKTEPE,MECLİS,29.20212634847925,41.01385331117499,151350430,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Akasya Çocuk Bahçesi,İSTANBUL,SEMİH SANCAR,SANCAKTEPE,MECLİS,29.20212634847925,41.01385331117499,151350435,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Mehmetçik Anadolu Lisesi Bahçesi,İSTANBUL,SEMİH SANCAR,ÇEKMEKÖY,KİRAZLIDERE,29.2045073969585,41.01385331117499,151347212,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Pir Sultan Abdal Parkı,İSTANBUL,SULTANGAZİ,SANCAKTEPE,İNÖNÜ,29.208079083315855,41.01475162234998,151350467,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Sultan Gazi  Sk. Boş Alan,İSTANBUL,SULTANGAZİ,SANCAKTEPE,İNÖNÜ,29.20926962378955,41.01475162234998,151350469,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Gümüş Parkı 2,İSTANBUL,SULTANGAZİ,ÇEKMEKÖY,KİRAZLIDERE,29.20926975366798,41.015649933524976,151347210,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Gümüş Parkı 1,İSTANBUL,TUNÇ,ÇEKMEKÖY,KİRAZLIDERE,29.2128416023844,41.01654824469997,151347217,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Gülhanım Şahin Çocuk Bahçesi,İSTANBUL,SULTANGAZİ,SANCAKTEPE,İNÖNÜ,29.215222748272474,41.01654824469997,151350468,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Çekmeköy TOKİ Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,KAZIM KARABEKİR,ÇEKMEKÖY,KİRAZLIDERE,29.21641332121651,41.01654824469997,151347211,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Kirazlıdere Cem Evi Bahçesi,İSTANBUL,KAZIM KARABEKİR,ÇEKMEKÖY,KİRAZLIDERE,29.21641332121651,41.01654824469997,151347222,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Kirazlıdere Parkı,İSTANBUL,KAZIM KARABEKİR,ÇEKMEKÖY,KİRAZLIDERE,29.216413548524354,41.01744655587496,151347219,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Fevzi Çakmak Parkı,İSTANBUL,KIŞLA,ÇEKMEKÖY,KİRAZLIDERE,29.21522338151591,41.01924317822495,151347216,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Öğretmen Melahat Hüdai Gürbüz İlkokulu Bahçesi,İSTANBUL,KAPLAN,ÇEKMEKÖY,KİRAZLIDERE,29.21760462482605,41.01924317822495,151347213,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Karaca Parkı,İSTANBUL,KAPLAN,ÇEKMEKÖY,KİRAZLIDERE,29.21760462482605,41.01924317822495,151347218,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Muhsin Yazıcıoğlu Parkı,İSTANBUL,DORUK,ÇEKMEKÖY,KİRAZLIDERE,29.21879550629681,41.02014148939994,151347220,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Tayfun Parkı,İSTANBUL,SANCAK,ÇEKMEKÖY,KİRAZLIDERE,29.219986420257037,41.02103980057493,151347221,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Cumhuriyet Parkı,İSTANBUL,SANCAK,ÇEKMEKÖY,KİRAZLIDERE,29.219986420257037,41.02103980057493,151347215,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Final İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,KAZIM KARABEKİR,ÇEKMEKÖY,KİRAZLIDERE,29.221177074389804,41.02103980057493,151347214,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Mehmetçik Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,GÜNGÖREN,29.21641468521806,41.021938111749925,151347137,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Vakar Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,GÜNGÖREN,29.219986972427954,41.02283642292492,151347139,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
Güngören Lunaparkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,SULTANÇİFTLİĞİ,29.221177659041363,41.02283642292492,151347164,"[<POLYGON ((29.221 41.021, 29.222 41.022, 29.222 41.022, 29.222 41.023, 29.22...>]"
