tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bahçelievler Halk Eğitim Merkezi Bahçesi,İSTANBUL,ALP,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.842579192463962,41.004815911174994,151346182,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit İtfaiye Er Ekrem Bulut Parkı,İSTANBUL,HASTANE,BAHÇELİEVLER,ŞİRİNEVLER,28.842579192463962,41.004815911174994,151346196,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit Erhan Bulut Ortaokulu Bahçesi,İSTANBUL,MAHMUTBEY,BAHÇELİEVLER,HÜRRİYET,28.842579192463962,41.004815911174994,151346221,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Tavukçu Sokak Parkı,İSTANBUL,MAHMUTBEY,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.841389026225254,41.00571422234999,151346166,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Necmi Tanyolaç Parkı,İSTANBUL,MEŞE 1,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.842579403410692,41.00571422234999,151346172,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Bülent Ecevit Ortaokulu Bahçesi,İSTANBUL,KARADENİZ,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84376978059613,41.00571422234999,151346184,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit Cengiz Sarıbaş Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,HASTANE,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.844960157781568,41.00571422234999,151346179,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit Mahir Ayabak İmam Hatip Ortaokulu Bahçesi,İSTANBUL,MAHMUTBEY,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.841389220954138,41.00661253352498,151346194,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Togay Boyatlı Parkı,İSTANBUL,HASTANE,BAHÇELİEVLER,ŞİRİNEVLER,28.846150794605517,41.00661253352498,151346197,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Karadeniz Parkı,İSTANBUL,KARADENİZ,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84377023497382,41.00751084469997,151346161,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Cem Atabeyoğlu Parkı,İSTANBUL,OTLAY,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.846151054255795,41.00751084469997,151346160,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Köroğlu Parkı,İSTANBUL,ŞEHİT FİKRET SÖĞÜTLER,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.844960888047922,41.008409155874965,151346171,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Siyavuşpaşa Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,AHMET YESEVİ,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.839008920994747,41.00930746704996,151346190,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
GSD Eğitim Vakfı Bahçelievler İlkokulu Bahçesi,İSTANBUL,ÇİĞDEM 2,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84258024729317,41.00930746704996,151346185,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit Erol Olçok Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ERHAN,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.840199541628056,41.01020577822495,151346193,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
İhsan Günden Parkı,İSTANBUL,AKGÜVERCİN,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.846151833277172,41.01020577822495,151346192,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Toki Halit Öğe İlkokulu Bahçesi,İSTANBUL,AHMET YESEVİ,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.839009407927232,41.012002400574936,151346191,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Sırma Doğan Parkı,İSTANBUL,AHMET YESEVİ,BAHÇELİEVLER,ZAFER,28.839009407927232,41.012002400574936,151346148,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Piri Reis Anadolu Lisesi Bahçesi,İSTANBUL,AHMET YESEVİ,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.839009407927232,41.012002400574936,151439538,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Şehit İbrahim Ceylan Parkı,İSTANBUL,KARANFİL 2,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.843771371098125,41.012002400574936,151346165,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Yunus Emre İmam Hatip Ortaokulu Bahçesi,İSTANBUL,KEMAL SUNAL,BAHÇELİEVLER,SOĞANLI,28.84615235268357,41.012002400574936,151346216,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Prof. Dr. Aziz Sancar Ortaokulu Bahçesi,İSTANBUL,ANADOLU 1,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84020007727806,41.01290071174993,151346189,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
Füsun Yönder Anadolu Lisesi Bahçesi,İSTANBUL,KEMAL SUNAL,BAHÇELİEVLER,SOĞANLI,28.847343119429727,41.01290071174993,151346215,"[<POLYGON ((28.839 41.009, 28.84 41.009, 28.84 41.009, 28.841 41.009, 28.841 ...>]"
