tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kahveler Yanı Park,İSTANBUL,ERGİN ÇIKMAZI,SARIYER,KOCATAŞ,29.031793912687746,41.16544341117499,151348876,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Kocataş Mahallesi Muhtarlığı Arkası Boş Alan,İSTANBUL,ERGİN ÇIKMAZI,SARIYER,KOCATAŞ,29.031793912687746,41.16544341117499,151348877,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
2 Temmuz Parkı,İSTANBUL,KOCATAŞ,SARIYER,KAZIM KARABEKİR PAŞA,29.031793912687746,41.16544341117499,151348858,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Kocataş Futbol Saha,İSTANBUL,CUMHURİYET,SARIYER,KOCATAŞ,29.03298718686693,41.16544341117499,151348878,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Hikmet Bayrak Muhtar Parkı,İSTANBUL,CUMHURİYET,SARIYER,BÜYÜKDERE,29.03656700940448,41.16544341117499,151348862,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Kocataş Yeni Park,İSTANBUL,YENİ BOĞAZİÇİ,SARIYER,KOCATAŞ,29.036567320219934,41.16634172234998,151348875,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
PTT Evleri Çaykur,İSTANBUL,DAĞLAR YOLU,SARIYER,KAZIM KARABEKİR PAŞA,29.024635445626686,41.17262990057493,151348859,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Köy İçi Parkı (Bahriye Üçok Parkı),İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.01986256189079,41.18071470114987,151348958,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Baba Kenan Parkı,İSTANBUL,DEREBOYLARI,SARIYER,MADEN,29.02583032378158,41.18071470114987,151348870,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Mehmet Akif Milli Parkı,İSTANBUL,KAZIM KARABEKİR BİLİNMEYEN,SARIYER,KAZIM KARABEKİR PAŞA,29.015088368749485,41.18161301232486,151348973,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Salih Kavras Parkı,İSTANBUL,KUMKÖY,SARIYER,BAHÇEKÖY YENİ,29.015088368749485,41.18161301232486,151348961,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
Zekeriyaköy Aygaz Parkı,İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.015088401494364,41.183409634674845,151348957,"[<POLYGON ((29.041 41.17, 29.038 41.17, 29.037 41.17, 29.037 41.171, 29.038 4...>]"
