tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çeliktepe Aydınlar Cami Yanı Otoparkı,İSTANBUL,OTO,KAĞITHANE,ÇELİKTEPE,29.008972897163222,41.08427151117499,151348268,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Metin Taşkın Parkı,İSTANBUL,OTO,KAĞITHANE,ÇELİKTEPE,29.008972897163222,41.08427151117499,151348267,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Emniyetevler Cami Önü Yeşil Alan,İSTANBUL,İSMET İNÖNÜ,KAĞITHANE,EMNİYET EVLERİ,29.008972897163222,41.08427151117499,151348255,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Sporcular Parkı,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,KONAKLAR,29.01016469621763,41.08427151117499,151346433,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Erlangen Parkı,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,LEVENT,29.01016469621763,41.08427151117499,151346452,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Meşelik Parkı,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,KONAKLAR,29.01016469621763,41.08427151117499,151346429,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Bosna Hersek Parkı,İSTANBUL,İSMET İNÖNÜ,KAĞITHANE,EMNİYET EVLERİ,29.008972946038718,41.08516982234998,151348254,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Faruk Nafiz Çamlıbel Parkı,İSTANBUL,GÖKKUŞAĞI,BEŞİKTAŞ,KONAKLAR,29.010164761384956,41.08516982234998,151346432,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Ticaret Odası İlkokulu Bahçesi,İSTANBUL,ESKİ BÜYÜKDERE,KAĞITHANE,EMNİYET EVLERİ,29.00778116327762,41.086068133524975,151348357,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
İsmet İnönü (Çilekli ) Spor Tesisleri Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ÇİLEKLİ,BEŞİKTAŞ,LEVENT,29.014932283456957,41.08696644469997,151346450,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
75. Yıl Parkı,İSTANBUL,MEŞELİ,BEŞİKTAŞ,KONAKLAR,29.01016495690466,41.08786475587496,151346431,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Sanayi Metro Çıkışı Yeşil Alanı,İSTANBUL,BÜYÜKDERE,ŞİŞLİ,ESENTEPE,29.006589396816477,41.089661378224946,151348203,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Oyak Parkı,İSTANBUL,İHSAN HİLMİ ALANTAR,BEŞİKTAŞ,KONAKLAR,29.014932674531806,41.089661378224946,151346430,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Mehdi Sancak Stadyumu,İSTANBUL,YUNUS EMRE,KAĞITHANE,YEŞİLCE,29.006589445707483,41.092356311749924,151348190,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
Profilo Barış İmam Hatip Ortaokulu Bahçesi,İSTANBUL,YUNUS EMRE,KAĞITHANE,SULTAN SELİM,29.00658947830518,41.09415293409991,151348344,"[<POLYGON ((29.009 41.083, 29.014 41.086, 29.018 41.088, 29.019 41.089, 29.01...>]"
