tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hakkı Değer Ortaokulu Bahçesi,İSTANBUL,FORSA,KADIKÖY,KOZYATAĞI,29.094052752939994,40.96128351117499,151348133,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Firuzan Toprak Parkı,İSTANBUL,FORSA,KADIKÖY,KOZYATAĞI,29.094052752939994,40.96128351117499,151348127,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Mehmet Karamancı İlkokulu Bahçesi,İSTANBUL,ŞEMSETTİN GÜNALTAY,KADIKÖY,SUADİYE,29.094052752939994,40.96128351117499,151348117,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Hacı Mustafa Tarman Anadolu Lisesi Bahçesi,İSTANBUL,ŞEMSETTİN GÜNALTAY,KADIKÖY,SUADİYE,29.09167366672439,40.96218182234998,151348116,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
İstanbul Anadolu Lisesi Bahçesi,İSTANBUL,KOCAYOL,KADIKÖY,BOSTANCI,29.094052850086584,40.96218182234998,151348172,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Miltaş Spor Tesisleri,İSTANBUL,TURŞUCU DERE,KADIKÖY,BOSTANCI,29.090484123618783,40.963080133524976,151348178,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Mualla Selcanoğlu Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,KOCAYOL,KADIKÖY,BOSTANCI,29.097621770856346,40.963080133524976,151348173,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Şükran Karabelli İlkokulu Bahçesi,İSTANBUL,ŞEHİT YILMAZ ERCAN,KADIKÖY,KOZYATAĞI,29.092863420327465,40.96397844469997,151348135,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Barış-1 Parkı,İSTANBUL,KOCAYOL,KADIKÖY,KOZYATAĞI,29.09881154065493,40.96397844469997,151348125,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Barış-2 Parkı,İSTANBUL,KOCAYOL,KADIKÖY,KOZYATAĞI,29.101190983105482,40.96487675587496,151348126,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Işık Okulları Bahçesi,İSTANBUL,ORAL,KADIKÖY,19 MAYIS,29.08810497264759,40.96667337822495,151348055,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Zübeyde Hanım Parkı,İSTANBUL,ORAL,KADIKÖY,19 MAYIS,29.089294645295176,40.96667337822495,151348049,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Ahmet Taner Kışlalı Parkı,İSTANBUL,PAMUK,KADIKÖY,KOZYATAĞI,29.090484317942764,40.96667337822495,151348129,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Mehmet Çavuş Cami Bahçesi,İSTANBUL,KAYA SULTAN,KADIKÖY,KOZYATAĞI,29.094053530235897,40.96847000057493,151348132,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Fatih Sultan Mehmet Hastanesi Otoparkı,İSTANBUL,HASTAHANE,ATAŞEHİR,İÇERENKÖY,29.102381465511108,40.96847000057493,151345623,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Ilgın Parkı,İSTANBUL,SITMA PINAR,KADIKÖY,KOZYATAĞI,29.100002233599078,40.969368311749925,151348130,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
İlhami Ertem Ortaokulu Bahçesi,İSTANBUL,BEYAZKANARYA,KADIKÖY,KOZYATAĞI,29.096433199471832,40.97026662292492,151348134,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Helin Palandöken Parkı,İSTANBUL,HİLMİPAŞA,KADIKÖY,19 MAYIS,29.09167431452964,40.97116493409991,151348047,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Kozyatağı Metro Girişi Alanı,İSTANBUL,BAYAR,KADIKÖY,KOZYATAĞI,29.10119234358892,40.97116493409991,151348136,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Ormen Sitesi Parkı,İSTANBUL,TOKTAŞ,KADIKÖY,19 MAYIS,29.092864230157375,40.972961556449896,151348052,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Kriton Curi Parkı,İSTANBUL,BAYAR,KADIKÖY,19 MAYIS,29.09405411339265,40.97385986762489,151348048,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Afet Eğitim ve Bilinçlendirme Parkı,İSTANBUL,ÇARDAK,KADIKÖY,KOZYATAĞI,29.09643371785687,40.97385986762489,151348131,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
Sarı Kanarya Parkı,İSTANBUL,SARIKANARYA,KADIKÖY,KOZYATAĞI,29.0964339770846,40.975656489974874,151348128,"[<POLYGON ((29.098 40.977, 29.097 40.977, 29.097 40.977, 29.097 40.976, 29.09...>]"
