tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Natilius AVM Bahçesi,İSTANBUL,DİNLENÇ,KADIKÖY,ACIBADEM,29.029825912365848,41.001783211174995,151348077,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Halil Türkkan Ortaokulu Bahçesi,İSTANBUL,İBRAHİM AĞA CAMİİ,KADIKÖY,KOŞUYOLU,29.029825912365848,41.001783211174995,151348085,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Öğretmenler Parkı,İSTANBUL,İBRAHİM AĞA CAMİİ,KADIKÖY,KOŞUYOLU,29.029825912365848,41.001783211174995,151348078,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Natilius Karşısı Otopark Alanı (ROSSMAN Binası Güneyi Otopark),İSTANBUL,DİNLENÇ,KADIKÖY,ACIBADEM,29.03101621854877,41.001783211174995,151348074,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Samyeli Futbol Sahası,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.028635622407112,41.00268152234999,151348087,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Şehit J.Er Cemal Tüfekçioğlu Parkı,İSTANBUL,DİNLENÇ,KADIKÖY,ACIBADEM,29.032206589628448,41.00268152234999,151348065,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Manolya Parkı,İSTANBUL,LAMBACI,KADIKÖY,KOŞUYOLU,29.03339707428849,41.00447814469997,151348080,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Eski Koşuyolu Kalp Hastanesi Bahçesi,İSTANBUL,LAMBACI,KADIKÖY,KOŞUYOLU,29.03339707428849,41.00447814469997,151348088,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Bahar Parkı,İSTANBUL,ŞEKERCİOĞLU,ÜSKÜDAR,BARBAROS ,29.03101641325229,41.005376455874966,151350710,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Şeker Parkı,İSTANBUL,LAMBACI,KADIKÖY,KOŞUYOLU,29.032206784336385,41.005376455874966,151348082,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Yaşam Parkı,İSTANBUL,ŞEVKET KAFTANCI,KADIKÖY,KOŞUYOLU,29.03339715542048,41.005376455874966,151348083,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Koşuyolu Parkı,İSTANBUL,ALİDEDE,KADIKÖY,KOŞUYOLU,29.035777897588673,41.005376455874966,151348079,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Ahmet Süt Camii Bahçesi,İSTANBUL,EMİNBEY,KADIKÖY,ACIBADEM,29.038158785801034,41.00627476704996,151348070,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Reşat Nuri Güntekin Ortaokulu Bahçesi,İSTANBUL,EMİNBEY,KADIKÖY,KOŞUYOLU,29.03934917311226,41.00627476704996,151348086,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Cenap Şehabettin İlkokulu Bahçesi,İSTANBUL,SÜLEYMAN NAZİF,KADIKÖY,KOŞUYOLU,29.035778238373844,41.008071389399944,151348084,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Atıf Bey Parkı,İSTANBUL,GÖMEÇ,KADIKÖY,ACIBADEM,29.041730337212304,41.008071389399944,151348067,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
75. Yıl Cumhuriyet Parkı,İSTANBUL,KALFAÇEŞME,ÜSKÜDAR,ALTUNİZADE,29.041730531964337,41.00896970057494,151350910,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Gökyüzü Parkı,İSTANBUL,BEKİR SITKI SEZGİN,ÜSKÜDAR,BARBAROS ,29.034588013362598,41.00986801174993,151350717,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Mimoza Parkı,İSTANBUL,SENİRKENT,KADIKÖY,KOŞUYOLU,29.039349822270996,41.00986801174993,151348081,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Şehit Muhammed Durra Parkı,İSTANBUL,BEKİR SITKI SEZGİN,ÜSKÜDAR,BARBAROS ,29.035778579205346,41.01076632292492,151350720,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
Çamlıbahçe Parkı,İSTANBUL,BEKİR SITKI SEZGİN,ÜSKÜDAR,BARBAROS ,29.035778692826142,41.011664634099915,151350715,"[<POLYGON ((29.029 41.001, 29.03 41.001, 29.03 41.001, 29.03 41.001, 29.031 4...>]"
