tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Göçe TOKİ Toplu Konut Bahçesi,İSTANBUL,BAHÇELER,ŞİLE,GÖÇE,29.836229587679668,41.11993041117499,151348978,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Kurfallı Köy Camii ve Okul Alanı,İSTANBUL,ÇAYLAK,ŞİLE,KURFALLI,29.836229587679668,41.11993041117499,151349004,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
İsaköy Köy Camii-Okul Alanı ve Meydan,İSTANBUL,AYDINLI,ŞİLE,İSAKÖY,29.836229587679668,41.11993041117499,151349048,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Ağlayan Kayalar Parkı (Ağva Merkez Mah.),İSTANBUL,YAKUPLU,ŞİLE,AĞVA MERKEZ,29.837422034013766,41.11993041117499,151348975,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Büyükşehir Parkı,İSTANBUL,YAKUPLU,ŞİLE,AĞVA MERKEZ,29.84219181935016,41.11993041117499,151348977,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Şuayipli Camii ve Kültürel Tesis Alanı,İSTANBUL,YILDIZTEPE,ŞİLE,ŞUAYİPLİ,29.82311336358706,41.12621858939994,151348983,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Demirkofa Parkı,İSTANBUL,EDİZ,ŞİLE,AĞVA MERKEZ,29.843391776658112,41.137896634674846,151348976,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Sancaktar Caddesi Süleymaniye Sokak Çocuk Parkı,İSTANBUL,UĞUR BIÇAKER,SİLİVRİ,KURFALLI,28.261432918857675,41.17121221117499,151349120,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Sancaktar Caddesi Kurfallı Meydanı,İSTANBUL,UĞUR BIÇAKER,SİLİVRİ,KURFALLI,28.261432918857675,41.17121221117499,151349121,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Menderes Sokak Büyükşehir Parkı,İSTANBUL,UĞUR BIÇAKER,SİLİVRİ,FENER,28.261432918857675,41.17121221117499,151349074,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Mustafa Kemal Caddesi Parkı,İSTANBUL,UĞUR BIÇAKER,SİLİVRİ,FENER,28.262626298102592,41.17121221117499,151349075,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Sağlık Caddesi Çocuk Parkı,İSTANBUL,BEKİR SITKI SOY,SİLİVRİ,AKÖREN,28.284107893594467,41.17211052234998,151349124,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
İncirli Caddesi Çocuk Parkı,İSTANBUL,İNCİRLİ,SİLİVRİ,BEKİRLİ,28.280532027412075,41.17750038939994,151349160,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Büyük Sinekli Köyü Cami Bahçesi,İSTANBUL,AKŞEMSEDDİN,SİLİVRİ,BÜYÜK SİNEKLİ,28.236374819881416,41.19366999054981,151349115,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Leyla Kavak Caddesi Spor Sahası,İSTANBUL,SIVAT ÇEŞME,SİLİVRİ,AKÖREN,28.29965347789621,41.20085647994975,151437334,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
Akşemseddin Caddesi Çocuk Parkı,İSTANBUL,AKŞEMSEDDİN,SİLİVRİ,BÜYÜK SİNEKLİ,28.23040623759557,41.20355141347473,151349114,"[<POLYGON ((29.839 41.119, 29.84 41.119, 29.841 41.12, 29.842 41.12, 29.845 4...>, <POLYGON ((28.296 41.175, 28.297 41.175, 28.297 41.176, 28.298 41.177, 28.29...>]"
