tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karakiraz Köy Okulu ve BHA,İSTANBUL,ERGUN,ŞİLE,KARAKİRAZ,29.376075811711395,41.152886311174996,151349021,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Kurna Köy Camii-BHA ve Meydan,İSTANBUL,KURNA,ŞİLE,KURNA,29.376075811711395,41.152886311174996,151349003,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Avcıkoru Camii ve Otopark Alanı,İSTANBUL,AVCIKORU,ŞİLE,AVCIKORU,29.376075811711395,41.152886311174996,151349034,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
İshaklı Köyü Parkı,İSTANBUL,MESUT EMRE ÇAKIR,BEYKOZ,İSHAKLI,29.362953046012283,41.15737786704996,151346590,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Sahilköy Spor Tesis Alanı-İHA,İSTANBUL,MADEN OCAKLARI,ŞİLE,SAHİLKÖY,29.36534020012601,41.16186942292492,151349020,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Doğancılı Boş Cami ve Kültürel Tesis Alanı,İSTANBUL,DOĞANCILI,ŞİLE,DOĞANCILI,29.390419069505775,41.198700181099625,151349030,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Berrak Sitesi Yanı Çocuk Parkı,İSTANBUL,DEDEPAŞA,PENDİK,HARMANDERE,29.334172091356063,40.931362511174996,151350244,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Harmandere Site Sokak Parkı,İSTANBUL,DEDEPAŞA,PENDİK,HARMANDERE,29.334172091356063,40.931362511174996,151350243,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Okul Parkı Ve Bahçesi,İSTANBUL,VARLIK,TUZLA,FATİH,29.334172091356063,40.931362511174996,151349573,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
Şehit Er Mehmet Güney Parkı,İSTANBUL,DEDEPAŞA,PENDİK,HARMANDERE,29.33179576420937,40.934057444699974,151350245,"[<POLYGON ((29.357 41.211, 29.356 41.211, 29.355 41.209, 29.353 41.202, 29.35...>, <POLYGON ((29.309 40.949, 29.312 40.946, 29.314 40.945, 29.317 40.943, 29.31...>]"
