tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Aydos Parkı,İSTANBUL,ORMAN,PENDİK,ERTUĞRUL GAZİ,29.251187587227495,40.923059811174994,151350202,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Çağlayan Sokak Parkı,İSTANBUL,KURTULUŞ,PENDİK,VELİBABA,29.251187587227495,40.923059811174994,151350323,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Ertuğrul Gazi Caddesi Çocuk Parkı,İSTANBUL,ORMAN,PENDİK,ERTUĞRUL GAZİ,29.251187587227495,40.923059811174994,151350206,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
0 Ada 557 Parsel (Kamu Arazisi),İSTANBUL,MELEKOTU,PENDİK,SÜLÜNTEPE,29.253565361682487,40.923059811174994,151350204,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Ercan Görür İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ORMAN,PENDİK,ERTUĞRUL GAZİ,29.263076637261726,40.92395812234999,151350205,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Aydos Spor Kulübü,İSTANBUL,SEMERKANT,PENDİK,ÇAMLIK,29.263076637261726,40.92395812234999,151350353,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Kutlu Sokak Park ve Antrenman Sahası,İSTANBUL,SEMERKANT,PENDİK,ÇAMLIK,29.265454444036585,40.92395812234999,151350351,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Aydos Sosyal Tesisi,İSTANBUL,KURAN KURSU,SULTANBEYLİ,NECİP FAZIL,29.26902244716934,40.92844967822495,151349329,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Kaynaşlı Sk. Parkı,İSTANBUL,KURAN KURSU,SULTANBEYLİ,NECİP FAZIL,29.27021170616101,40.92934798939994,151349250,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Yahya Kemal Beyatlı Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,KURAN KURSU,SULTANBEYLİ,NECİP FAZIL,29.2725903211719,40.93114461174993,151349249,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
Cumhuriyet İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,SONER,SULTANBEYLİ,NECİP FAZIL,29.26902374043255,40.932941234099914,151349247,"[<POLYGON ((29.255 40.931, 29.255 40.931, 29.253 40.929, 29.25 40.924, 29.25 ...>]"
