tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Emin Vakfı Korusu,İSTANBUL,NAİLESULTAN SİTESİ YOLU,BEŞİKTAŞ,ORTAKÖY,29.03091373432972,41.05310811117499,151346460,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Hayrettin Karaca parkı,İSTANBUL,NAİLESULTAN SİTESİ YOLU,BEŞİKTAŞ,ORTAKÖY,29.03091373432972,41.05310811117499,151346461,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Meyve Bahçesi parkı,İSTANBUL,NAİLESULTAN SİTESİ YOLU,BEŞİKTAŞ,ORTAKÖY,29.03091373432972,41.05310811117499,151346462,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Ulus Parkı,İSTANBUL,SAHİL ÇIKMAZI,BEŞİKTAŞ,KURUÇEŞME,29.035678915653257,41.05580304469997,151346465,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Robert Koleji Yeşil Alanı,İSTANBUL,ÇAĞLA,BEŞİKTAŞ,KÜLTÜR,29.035679159691078,41.05849797822495,151346477,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Ayazma Parkı,İSTANBUL,KOLEJ YOLU,BEŞİKTAŞ,ARNAVUTKÖY,29.038062279177037,41.06209122292492,151346457,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Gözde Parkı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,NİSBETİYE,29.03091394584834,41.0647861564499,151346467,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Türksan Sitesi Önü Boş Parseller,İSTANBUL,REŞAT NURİ GÜNTEKİN,BEŞİKTAŞ,BEBEK,29.035679729241707,41.0647861564499,151346478,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Prof. Dr. Aykut Barka Parkı,İSTANBUL,KUZEY,BEŞİKTAŞ,KÜLTÜR,29.033296984034084,41.067481089974876,151346434,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
A. Yavuz Kocaömer Engelliler Parkı,İSTANBUL,KÖRKADI,BEŞİKTAŞ,KÜLTÜR,29.034488478712113,41.067481089974876,151346435,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
Türkan Saylan Parkı,İSTANBUL,KÖRKADI,BEŞİKTAŞ,KÜLTÜR,29.036871663409045,41.06927771232486,151346436,"[<POLYGON ((29.041 41.064, 29.04 41.065, 29.039 41.064, 29.039 41.064, 29.039...>]"
