tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Koç Holding Sosyal Tesisleri,İSTANBUL,KUŞBAKIŞI,ÜSKÜDAR,KUZGUNCUK ,29.04422842602671,41.026264111174996,151350908,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Özel Üsküdar S.E.V İlkokulu Bahçesi,İSTANBUL,BURHANİYE ABDULLAHAĞA,ÜSKÜDAR,BURHANİYE,29.04422842602671,41.026264111174996,151350769,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Gümüşyolu Parkı,İSTANBUL,KUŞBAKIŞI,ÜSKÜDAR,ALTUNİZADE,29.04422842602671,41.026264111174996,151350848,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Enveriye Parkı,İSTANBUL,BURHANİYE ABDULLAHAĞA,ÜSKÜDAR,BURHANİYE,29.045419174616516,41.026264111174996,151350763,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Kurt Çelebi Parkı,İSTANBUL,İCADİYE BAĞLARBAŞI,ÜSKÜDAR,İCADİYE,29.041847416185053,41.02806073352498,151350729,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Dereiçi Park,İSTANBUL,GÜMÜŞYOLU,ÜSKÜDAR,KUZGUNCUK ,29.040656862545898,41.028959044699974,151350837,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
İmam Galip Parkı,İSTANBUL,KUZGUNCUK DERESİ,ÜSKÜDAR,İCADİYE,29.038275462853793,41.02985735587497,151350728,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
İcadiye Parkı,İSTANBUL,KUZGUNCUK DERESİ,ÜSKÜDAR,İCADİYE,29.038275462853793,41.02985735587497,151350725,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Nakkaş Tepe Millet Bahçesi,İSTANBUL,RASİMAĞA,ÜSKÜDAR,KUZGUNCUK ,29.04184790356724,41.02985735587497,151350886,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Fethi Paşa Korusu,İSTANBUL,FETHİPAŞA KORUSU,ÜSKÜDAR,KUZGUNCUK ,29.026367359636648,41.03075566704996,151350839,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Yavuz Gökmen Parkı,İSTANBUL,MÜNİR ERTEGÜN,ÜSKÜDAR,SULTANTEPE,29.026367359636648,41.03075566704996,151350732,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Arifbey Sokak Parkı,İSTANBUL,FETHİPAŞA KORUSU,ÜSKÜDAR,KUZGUNCUK ,29.026367359636648,41.03075566704996,151350730,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Fevziye Meriç Çocuk Akademisi Bahçesi,İSTANBUL,MÜNİR ERTEGÜN,ÜSKÜDAR,İCADİYE,29.02755818945497,41.03075566704996,151350727,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Kuzguncuk Parkı,İSTANBUL,BAHÇESARAY,ÜSKÜDAR,KUZGUNCUK ,29.033512468529896,41.03165397822495,151350885,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Simitçi Tahir Parkı,İSTANBUL,BAHÇESARAY,ÜSKÜDAR,KUZGUNCUK ,29.033512468529896,41.03165397822495,151350838,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Kuzguncuk Bostanı,İSTANBUL,YAPRAKLI ÇINAR,ÜSKÜDAR,KUZGUNCUK ,29.031130873889314,41.032552289399945,151350907,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Şampiyon Spor Tesisleri,İSTANBUL,BEYBOSTANI,ÜSKÜDAR,KÜPLÜCE ,29.043039757028314,41.03345060057494,151350904,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Beylerbeyi Stadı,İSTANBUL,FISTIKLI MESCİT,ÜSKÜDAR,BEYLERBEYİ,29.044230911844615,41.03434891174993,151350777,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
Şahin Spor Tesisi Halı Saha,İSTANBUL,ABDULLAHAĞA,ÜSKÜDAR,BEYLERBEYİ,29.039467543848172,41.03524722292492,151350779,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
TFF Tesisleri,İSTANBUL,ABDULLAHAĞA,ÜSKÜDAR,BEYLERBEYİ,29.039467755118892,41.036145534099916,151350778,"[<POLYGON ((29.028 41.03, 29.029 41.03, 29.028 41.031, 29.029 41.031, 29.029 ...>]"
