tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Lale Parkı,İSTANBUL,SELAMET,SANCAKTEPE,FATİH,29.229424114596675,40.949281011174996,151350481,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Yonca Çocuk Bahçesi,İSTANBUL,SELAMET,SANCAKTEPE,FATİH,29.229424114596675,40.949281011174996,151350489,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Park Bahçeler Müdürlüğü Arıtma Tesisi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.229424114596675,40.949281011174996,151350500,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
İski Önü Boş Alan,İSTANBUL,GÖKSU,SANCAKTEPE,VEYSEL KARANİ,29.231802833052868,40.949281011174996,151350394,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Rıza Çalımbay Spor Parkı,İSTANBUL,GÖKSU,SANCAKTEPE,VEYSEL KARANİ,29.232992192280964,40.949281011174996,151350544,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Veysel Karani Parkı,İSTANBUL,GÖKSU,SANCAKTEPE,VEYSEL KARANİ,29.23774962919335,40.949281011174996,151350392,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Abdurrahmangazi Orman Toplanma Alanı,İSTANBUL,NECİP FAZIL,SULTANBEYLİ,ABDURRAHMANGAZİ,29.241317706877638,40.949281011174996,151349188,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Hasanpaşa Orman Toplanma Alanı,İSTANBUL,ORMAN,SANCAKTEPE,VEYSEL KARANİ,29.243696732778663,40.95017932234999,151349199,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,NECİP FAZIL,SULTANBEYLİ,ABDURRAHMANGAZİ,29.24607582342021,40.95107763352498,151349320,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
0/1961 Parsel (Fenerbahçe Tes.Yanı) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,SELAMET,SANCAKTEPE,FATİH,29.222288007774214,40.951975944699974,151350490,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Ortadağ Tepesi Parkı,İSTANBUL,SELAMET,SANCAKTEPE,FATİH,29.22466682332264,40.951975944699974,151350479,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Aydos Ortaokulu - Aydos İmam Hatip Ortaokulu Bahçesi,İSTANBUL,AKSU,SULTANBEYLİ,MEHMET AKİF,29.248454978806894,40.951975944699974,151349213,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Kaplan Parkı,İSTANBUL,SELAMET,SANCAKTEPE,FATİH,29.225856295830862,40.95287425587497,151350546,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Pehlivanlar Çocuk Bahçesi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.223477609772456,40.95736581174993,151350499,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Ahmet Yener Ortaokulu Bahçesi,İSTANBUL,SARIGÜL,SULTANBEYLİ,HASANPAŞA,29.248457212383226,40.95736581174993,151349203,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Sancaktepe Anadolu Lisesi Bahçesi,İSTANBUL,GÖKSU,SANCAKTEPE,VEYSEL KARANİ,29.235372852889537,40.95826412292492,151350396,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Erikli Pınar Camii Bahçesi,İSTANBUL,GÖKSU,SANCAKTEPE,VEYSEL KARANİ,29.23537304715313,40.959162434099916,151350395,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Fatih Sultan Mehmet Han Cami Bahçesi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.229425474164902,40.96006074527491,151350502,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
Cahar Dudayev Parkı,İSTANBUL,NECİP FAZIL,SULTANBEYLİ,HASANPAŞA,29.243700423202345,40.9609590564499,151349200,"[<POLYGON ((29.246 40.951, 29.246 40.951, 29.249 40.952, 29.249 40.953, 29.24...>]"
