tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Aziziye Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,BURHANİYE,29.06067686866052,41.029884111174994,151350766,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Lions İlkokulu Bahçesi,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.06067686866052,41.029884111174994,151350834,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Gençlik Merkezi Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,BURHANİYE,29.06067686866052,41.029884111174994,151350764,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
İBB Donatı Alanı,İSTANBUL,TOMRUK,ÜSKÜDAR,FERAH ,29.06186768271556,41.029884111174994,151350887,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Büyük Çamlıca Cami Bahçesi ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,TOMRUK,ÜSKÜDAR,KİRAZLITEPE,29.064249310825648,41.029884111174994,151350789,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Yeni Çamlıca Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,BURHANİYE,29.059486233324666,41.030782422349986,151350761,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Şenol Güneş Parkı,İSTANBUL,MEHMET AKİF ERSOY,ÜSKÜDAR,KİRAZLITEPE,29.060677453586162,41.03257904469997,151350674,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Burhaniye Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.054723253337766,41.033477355874965,151350832,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Münevver Ayaşlı Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.054723253337766,41.033477355874965,151350903,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Kağıtçıbaşı Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,BURHANİYE,29.054723253337766,41.033477355874965,151350765,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Şehit Cengiz Hasbal Parkı,İSTANBUL,MEHMET AKİF ERSOY,ÜSKÜDAR,KİRAZLITEPE,29.059486948282323,41.03437566704996,151350676,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Camialtı Sayal Sokak,İSTANBUL,HACI POSTA,ÜSKÜDAR,MEHMET AKİF ERSOY,29.060677843580716,41.03437566704996,151350675,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Şampiyon Spor Tesisleri,İSTANBUL,GÜZELDERE ALT,ÜSKÜDAR,KÜPLÜCE ,29.048768923098546,41.03527397822495,151350904,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Küplüce Parkı,İSTANBUL,GÜZELDERE ALT,ÜSKÜDAR,KÜPLÜCE ,29.048768923098546,41.03527397822495,151350833,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Abdullah Ağa Parkı,İSTANBUL,BEYBOSTANI,ÜSKÜDAR,BURHANİYE,29.048768923098546,41.03527397822495,151350768,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Beylerbeyi Stadı,İSTANBUL,TAŞOCAKLARI,ÜSKÜDAR,BEYLERBEYİ,29.04757802780089,41.03617228939994,151350777,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Küplüce Cami Bahçesi,İSTANBUL,BEYLERBEYİ MEKTEBİ,ÜSKÜDAR,BEYLERBEYİ,29.04757804405324,41.037070600574935,151350889,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
Orhan Seyfi Orhon Ortaokulu Bahçesi,İSTANBUL,MEHMET AKİF ERSOY,ÜSKÜDAR,KİRAZLITEPE,29.058296540532385,41.037070600574935,151350677,"[<POLYGON ((29.065 41.029, 29.066 41.03, 29.065 41.031, 29.065 41.032, 29.065...>]"
