tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Tepeüstü Parkı,İSTANBUL,ŞEHİT TİMUR AKTEMUR,ÜSKÜDAR,ÜNALAN ,29.066849551417196,41.006463111174995,151350738,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Cüneyt Çakır Spor Kompleksi Parkı,İSTANBUL,ŞEHİT TİMUR AKTEMUR,ÜSKÜDAR,ÜNALAN ,29.066849551417196,41.006463111174995,151350742,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Küçük Çamlıca Parkı,İSTANBUL,ÜÇPINARLAR,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.066849551417196,41.006463111174995,151350774,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Şeker Maslak Parkı,İSTANBUL,ÜÇPINARLAR,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.06803994213077,41.006463111174995,151350771,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Fetih Parkı,İSTANBUL,LİBADİYE,ATAŞEHİR,FETİH,29.069230332844345,41.006463111174995,151345580,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Libadiye Parkı,İSTANBUL,LİBADİYE,ÜSKÜDAR,CUMHURİYET,29.07042072355792,41.006463111174995,151350688,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Yazgülü Parkı,İSTANBUL,LİBADİYE,ATAŞEHİR,FETİH,29.07042072355792,41.006463111174995,151345582,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Üçpınarlar Parkı,İSTANBUL,DESTAN,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.06446899718235,41.00736142234999,151350772,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Hüdayi Parkı,İSTANBUL,ÇARDAK,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.069230917066296,41.00825973352498,151350773,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Alsancak ve Ceren Sitesi Yeşil Alan ve Otoparkı,İSTANBUL,ÇİLEKLİ,ÜSKÜDAR,ACIBADEM,29.062088767560798,41.010056355874966,151350823,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Dutdibi Parkı,İSTANBUL,LİBADİYE,ÜSKÜDAR,CUMHURİYET,29.073993323861462,41.010056355874966,151350690,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Mimoza Parkı,İSTANBUL,LİBADİYE,ÜSKÜDAR,BULGURLU ,29.073994038039867,41.01185297822495,151350749,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Çilehane Parkı,İSTANBUL,BODRUMİ CAMİ ÇIKMAZI,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.06685136920243,41.012751289399944,151350775,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Nezih Uzel Parkı,İSTANBUL,LİBADİYE,ÜSKÜDAR,BULGURLU ,29.07399439515334,41.012751289399944,151350751,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Şehitler Parkı,İSTANBUL,RAUFPAŞA HANI,ÜSKÜDAR,ALTUNİZADE,29.05851798502486,41.01364960057494,151350853,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Milli Eğitim Vakfı Ortaokulu Bahçesi,İSTANBUL,LİBADİYE,ÜSKÜDAR,BULGURLU ,29.07399475228299,41.01364960057494,151350758,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Menekşe Parkı,İSTANBUL,YURTSEVEN,ÜSKÜDAR,ACIBADEM,29.057327594337753,41.01454791174993,151350818,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
Küçük Çamlıca Korusu,İSTANBUL,ÜÇPINARLAR,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.05970866792219,41.01454791174993,151350894,"[<POLYGON ((29.069 41.02, 29.069 41.02, 29.068 41.02, 29.067 41.021, 29.066 4...>]"
