tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Vezir Topçu Parkı.,İSTANBUL,YALNIZ SELVİ,ÜSKÜDAR,KULELİ,29.06527562697251,41.05822381117499,151350672,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Defne Parkı,İSTANBUL,KALDIRIM,ÜSKÜDAR,ÇENGELKÖY,29.06527562697251,41.05822381117499,151350825,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Kuleli Muhtarlık Çevresi ve Top Sahası,İSTANBUL,YALNIZ SELVİ,ÜSKÜDAR,KULELİ,29.06527562697251,41.05822381117499,151350671,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Lekeci Nuri Parkı,İSTANBUL,KALDIRIM,ÜSKÜDAR,ÇENGELKÖY,29.06646695394502,41.05822381117499,151350826,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Şehit Okan Altıparmak Lisesi Bahçesi,İSTANBUL,KALDIRIM,ÜSKÜDAR,ÇENGELKÖY,29.06646695394502,41.05822381117499,151350831,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
M. Düzgünman Sağlık Ocağı Bahçesi,İSTANBUL,KALDIRIM,ÜSKÜDAR,KÜÇÜKSU ,29.06765828091753,41.05822381117499,151350795,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Tufan Parkı,İSTANBUL,KALDIRIM,ÜSKÜDAR,KÜÇÜKSU ,29.06884960789004,41.05822381117499,151350798,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Rahmi Gökçan Parkı,İSTANBUL,MUSTAFA DÜZGÜNMAN,ÜSKÜDAR,KÜÇÜKSU ,29.07004093486255,41.05822381117499,151350797,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Seyfi Ali Yıldız Parkı,İSTANBUL,ATABEK,ÜSKÜDAR,BAHÇELİEVLER,29.07242358880757,41.05822381117499,151350802,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Boğaziçi Üniversitesi Kandilli Rasathanesi Yerleşkesi,İSTANBUL,YALNIZ SELVİ,ÜSKÜDAR,KÜÇÜKSU ,29.065275643242952,41.05912212234998,151350884,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
4. Murat İlkokulu Bahçesi,İSTANBUL,ATABEK,ÜSKÜDAR,BAHÇELİEVLER,29.07361504594361,41.05912212234998,151350805,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Sultan Murat Parkı,İSTANBUL,ATABEK,ÜSKÜDAR,BAHÇELİEVLER,29.075998220586865,41.06181705587496,151350801,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
İmam Şamil Camii Bahçesi,İSTANBUL,KÜÇÜKSU_1,BEYKOZ,YENİ MAHALLE,29.078381004704237,41.06181705587496,151346520,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Rasathane Parkı,İSTANBUL,MİRALAY,ÜSKÜDAR,KÜÇÜKSU ,29.066467149212396,41.06361367822495,151350796,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Küçüksu Parkı,İSTANBUL,MİRALAY,ÜSKÜDAR,KÜÇÜKSU ,29.067658622643187,41.06451198939994,151350794,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Halı Saha(Küçüksu Mahallesi Hekimbaşı Çiftlik Caddesi No:28),İSTANBUL,EFLATUN,ÜSKÜDAR,KÜÇÜKSU ,29.072424386167434,41.06451198939994,151350800,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
65. Yıl Parkı,İSTANBUL,KÜÇÜKSU_1,BEYKOZ,YENİ MAHALLE,29.07719014969168,41.06451198939994,151346514,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
Ayışığı Parkı,İSTANBUL,GÜNGÖRDÜ,ÜSKÜDAR,KÜÇÜKSU ,29.066467214313324,41.06541030057493,151350793,"[<POLYGON ((29.073 41.072, 29.072 41.072, 29.072 41.073, 29.072 41.073, 29.07...>]"
