tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Küçük Çamlıca Korusu,İSTANBUL,BULGURLU,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.066905776009666,41.020590011174995,151350894,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,BULGURLU,ÜSKÜDAR,KISIKLI ,29.066905776009666,41.020590011174995,151350705,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Hanımseti Parkı,İSTANBUL,BULGURLU,ÜSKÜDAR,KISIKLI ,29.066905776009666,41.020590011174995,151350700,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Gaziler Parkı,İSTANBUL,BULGURLU,ÜSKÜDAR,BULGURLU ,29.068096422011276,41.020590011174995,151350755,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
TOGEMDER Bahçesi ve Otopark Alanı,İSTANBUL,AYDINOĞLU,ÜSKÜDAR,KISIKLI ,29.070477714014498,41.020590011174995,151350702,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Çamlık Parkı,İSTANBUL,ETİLER,ÜSKÜDAR,BULGURLU ,29.07166836001611,41.020590011174995,151350745,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Millet Parkı,İSTANBUL,NURBABA,ÜSKÜDAR,BURHANİYE,29.06214325696303,41.02238663352498,151350762,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Büyük Çamlıca Korusu,İSTANBUL,KISIKLI BÜYÜK ÇAMLICA,ÜSKÜDAR,KISIKLI ,29.063333935444543,41.02238663352498,151350708,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Salih Solman Parkı,İSTANBUL,ALEMDAĞ,ÜSKÜDAR,KISIKLI ,29.0680966493706,41.02238663352498,151350699,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Çocuk Meclisi Parkı,İSTANBUL,ALEMDAĞ,ÜSKÜDAR,KISIKLI ,29.076431398741196,41.02238663352498,151350706,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Mavi Marmara Parkı,İSTANBUL,GÜNAYDIN ÇIKMAZI,ÜSKÜDAR,BULGURLU ,29.076431398741196,41.02238663352498,151350893,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
İzzettin Bey Parkı,İSTANBUL,ALEMDAĞ,ÜSKÜDAR,BULGURLU ,29.07762207722271,41.02238663352498,151350750,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Gençlik Merkezi Parkı,İSTANBUL,NURBABA,ÜSKÜDAR,BURHANİYE,29.062143289445142,41.023284944699974,151350764,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
İlkbahar Parkı,İSTANBUL,ABDULLAH ÇAVUŞ,ÜSKÜDAR,KISIKLI ,29.076431626115987,41.023284944699974,151350704,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Aziziye Parkı,İSTANBUL,NURBABA,ÜSKÜDAR,BURHANİYE,29.062143321928726,41.024183255874966,151350766,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Ferah Parkı,İSTANBUL,REŞATBEY,ÜSKÜDAR,KISIKLI ,29.076431853501074,41.024183255874966,151350697,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Hacı Arif Bey 1 Parkı,İSTANBUL,ALEMDAĞ YAN YOLU,ÜSKÜDAR,KISIKLI ,29.081194697358523,41.024183255874966,151350698,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Şehit Ünal Kalafat Parkı,İSTANBUL,SÜTÇÜ İMAM,ÜMRANİYE,NAMIK KEMAL,29.082385408322885,41.024183255874966,151349705,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Fahir İlkel Parkı,İSTANBUL,BOSNA,ÜMRANİYE,TANTAVİ,29.082385408322885,41.024183255874966,151349801,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
İBB Donatı Alanı,İSTANBUL,ÇAMLICA TEPESİ,ÜSKÜDAR,FERAH ,29.06333408162067,41.02508156704996,151350887,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Abdi Paşa Parkı,İSTANBUL,DERECİ,ÜSKÜDAR,FERAH ,29.077622808103346,41.02508156704996,151576131,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Zerafet Sokak Parkı,İSTANBUL,AYLA AĞABEGÜM,ÜSKÜDAR,KISIKLI ,29.07405082140183,41.02597987822495,151350707,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Denizciler Parkı,İSTANBUL,BOSNA,ÜMRANİYE,TANTAVİ,29.082386025552896,41.02597987822495,151349800,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Lions İlkokulu Bahçesi,İSTANBUL,ÇAMLICA DERESİ,ÜSKÜDAR,KÜPLÜCE ,29.063334227816654,41.02777650057494,151350834,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Büyük Çamlıca Cami Bahçesi ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,TOMRUK,ÜSKÜDAR,KİRAZLITEPE,29.065715779694422,41.02777650057494,151350789,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Erenler Parkı,İSTANBUL,DERECİ,ÜSKÜDAR,FERAH ,29.077623539083262,41.02777650057494,151350788,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
Yavuz Selim Parkı,İSTANBUL,BOSNA,ÜSKÜDAR,YAVUZTÜRK ,29.078814574949707,41.02867481174993,151350666,"[<POLYGON ((29.084 41.024, 29.085 41.025, 29.083 41.026, 29.083 41.026, 29.08...>]"
