tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yeşilvadi Okul Alanı ve Bahçesi,İSTANBUL,YAMAN,ŞİLE,YEŞİLVADİ,29.510692444642963,41.12135581117499,151349059,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Ulupelit Köy Konağı ve Camii Alanı,İSTANBUL,KALEALTI,ŞİLE,ULUPELİT,29.510692444642963,41.12135581117499,151349008,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Kızılcaköy Camii Alanı,İSTANBUL,MEDENİ,ŞİLE,KIZILCA,29.510692444642963,41.12135581117499,151348988,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Sofular Camii ve BHA,İSTANBUL,ŞİLE YOLU,ŞİLE,SOFULAR,29.488035537525974,41.124949055874964,151348989,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Kızılcaköy Park Alanı,İSTANBUL,MEDENİ,ŞİLE,KIZILCA,29.51665725443318,41.12674567822495,151348987,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Satmazlı Sağlık Hizmet Alanı,İSTANBUL,AYDIN,ŞİLE,SATMAZLI,29.519042835611085,41.12764398939994,151348980,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Meşrutiyet Köy Camii-Meydan-BHA,İSTANBUL,AYDINTEPE,ŞİLE,MEŞRUTİYET,29.54887448615839,41.1456102128998,151349023,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Meşrutiyet Köy Camii-BHA-Meydan,İSTANBUL,AYDINTEPE,ŞİLE,MEŞRUTİYET,29.551268256366924,41.15369501347473,151349025,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Alacalı Mevcut Siteler İçin Sosyal Tesis Alanı,İSTANBUL,ANAYOL,ŞİLE,ALACALI,29.503546759850117,41.1572882581747,151349047,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Meşrutiyet Sosyal Tesis Alanı ve Park,İSTANBUL,FINDIK PINARI,ŞİLE,MEŞRUTİYET,29.55724127584013,41.16088150287467,151349022,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
Meşrutiyet Park Alanı,İSTANBUL,ŞİLE YOLU,ŞİLE,MEŞRUTİYET,29.560824905489397,41.164474747574644,151349024,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
7 Ekim Parkı,İSTANBUL,ŞİLE YOLU,ŞİLE,KUMBABA,29.55963863472682,41.17076292579959,151348996,"[<POLYGON ((29.561 41.174, 29.561 41.174, 29.557 41.175, 29.557 41.175, 29.55...>]"
