tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Meyve Bahçesi parkı,İSTANBUL,AMBARLIDERE YOLU,BEŞİKTAŞ,ORTAKÖY,29.022370924783413,41.056141211174996,151346462,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Fındık Fatma Parkı,İSTANBUL,DEFNE ÇIKMAZI,BEŞİKTAŞ,MECİDİYE,29.022370924783413,41.056141211174996,151346476,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Hayrettin Karaca parkı,İSTANBUL,AMBARLIDERE YOLU,BEŞİKTAŞ,ORTAKÖY,29.022370924783413,41.056141211174996,151346461,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Balmumcu Parkı,İSTANBUL,BESTEKAR ŞEVKİ BEY,BEŞİKTAŞ,BALMUMCU,29.01998842761751,41.05703952234999,151346444,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Ortaköy Vadisi Kentsel Park Alanı 2,İSTANBUL,LEYLAK,BEŞİKTAŞ,ULUS,29.01998842761751,41.05703952234999,151346481,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Kor.Gen.Faruk Güventürk Parkı,İSTANBUL,VARNALI,BEŞİKTAŞ,LEVAZIM,29.018797187171863,41.05793783352498,151346459,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Ortaköy Vadisi Kentsel Park Alanı 1,İSTANBUL,VARNALI,BEŞİKTAŞ,LEVAZIM,29.021179830757795,41.05793783352498,151346458,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Muhtarlık Önü Parkı,İSTANBUL,BARBAROS,ŞİŞLİ,ESENTEPE,29.015223335699872,41.06422601174993,151350573,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Barış Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.017606255925713,41.06512432292492,151346469,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Aydın Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.01522336825134,41.066022634099916,151346468,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
Gözde Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.02118070950805,41.066022634099916,151346467,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.021 41.067, 29.021 41.068, 29.02...>]"
