tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ballı Sokak Yeşil Alan,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,LEVENT,29.015396202259474,41.07442092234999,151346453,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Birlik Parkı,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,NİSBETİYE,29.015396202259474,41.07442092234999,151346466,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Aydın Parkı,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,NİSBETİYE,29.015396202259474,41.07442092234999,151346468,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Erlangen Parkı,İSTANBUL,ÇARŞIARKASI,BEŞİKTAŞ,LEVENT,29.01539636510054,41.07621754469997,151346452,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Beşiktaş Spor Yazarları Derneği,İSTANBUL,ÇALIKUŞU,BEŞİKTAŞ,LEVENT,29.017779671140755,41.07621754469997,151346455,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Levent Huzurevi Parkı,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,LEVENT,29.014204777221284,41.077115855874965,151346454,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Dilek Sabancı Parkı,İSTANBUL,GÜVERCİN,BEŞİKTAŞ,LEVENT,29.02135479305321,41.077115855874965,151346451,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Yaşar Kemal Parkı,İSTANBUL,TALAT PAŞA,ŞİŞLİ,ESENTEPE,29.011821568907113,41.080709100574936,151350574,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Sporcular Parkı,İSTANBUL,BÜYÜKDERE,BEŞİKTAŞ,KONAKLAR,29.01182160148492,41.08160741174993,151346433,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Çeliktepe Aydınlar Cami Yanı Otoparkı,İSTANBUL,SARIGÖL,KAĞITHANE,ÇELİKTEPE,29.010629867032105,41.08250572292492,151348268,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Meşelik Parkı,İSTANBUL,AKÇAM,BEŞİKTAŞ,KONAKLAR,29.011821666644973,41.083404034099914,151346429,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
İsmet İnönü (Çilekli ) Spor Tesisleri Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ÜLGEN,BEŞİKTAŞ,LEVENT,29.020164296522438,41.08430234527491,151346450,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
Oyak Parkı,İSTANBUL,UĞUR MUMCU,BEŞİKTAŞ,KONAKLAR,29.02016517638243,41.08969221232486,151346430,"[<POLYGON ((29.02 41.091, 29.019 41.09, 29.019 41.089, 29.018 41.088, 29.014 ...>]"
