tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Eltes Gunes Ist Tesisleri Bahçesi,İSTANBUL,PAMUKOVA,ÜMRANİYE,MADENLER,29.17980182086312,41.008315211174995,151349875,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Erzincan Caddesi Boş Arazi,İSTANBUL,DES-1,ÜMRANİYE,DUDULLU OSB,29.17980182086312,41.008315211174995,151349784,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Ümraniye Çiğdem Parkı,İSTANBUL,PAMUKOVA,ÜMRANİYE,MADENLER,29.17980182086312,41.008315211174995,151349793,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Gölet Parkı,İSTANBUL,SARIGAZİ YOLU,ÜMRANİYE,MADENLER,29.182182669208366,41.008315211174995,151349794,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Evliya Çelebi 3 Parkı,İSTANBUL,BARAJ YOLU,ÜMRANİYE,ESENKENT,29.184563517553613,41.008315211174995,151349783,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Prof. Dr. Aziz Sancar Parkı,İSTANBUL,BARAJ YOLU,ÜMRANİYE,ESENKENT,29.184563517553613,41.008315211174995,151349782,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Esenşehir Bilfen Bahçesi,İSTANBUL,FERASET,ÜMRANİYE,MADENLER,29.179801983162164,41.01011183352498,151349795,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Barış Parkı,İSTANBUL,TERAZİLER,SANCAKTEPE,MECLİS,29.18694472295676,41.01011183352498,151350431,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Çekmeköy 1 Nolu Aile Sağlık Merkezi Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,MEHMET AKİF,29.189325636221625,41.01011183352498,151347147,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Yunus Emre Parkı,İSTANBUL,TERAZİLER,SANCAKTEPE,MECLİS,29.191706792951578,41.01101014469997,151350432,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Çamlık Tel Boyu 2,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,ÇAMLIK,29.192897265815017,41.01101014469997,151347155,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Sur Yapı Şehir Konakları Arkası,İSTANBUL,SARIGAZİ YOLU,ÜMRANİYE,ESENŞEHİR,29.17504018909518,41.011908455874966,151349857,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
White Side Apartmanları Arkası,İSTANBUL,SARIGAZİ YOLU,ÜMRANİYE,ESENŞEHİR,29.17504018909518,41.011908455874966,151349859,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
İbni Sina Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,MEHMET AKİF,29.18694508004698,41.011908455874966,151347143,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Çamlık Ortaokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,ÇAMLIK,29.192897525522877,41.011908455874966,151347149,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Metro Garden Avm Otoparkı,İSTANBUL,GAFFAR OKKAN,ÜMRANİYE,NECİP FAZIL,29.176230710655307,41.01280676704996,151349757,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Bayındır Parkı,İSTANBUL,GAFFAR OKKAN,ÜMRANİYE,NECİP FAZIL,29.175040221560867,41.01370507822495,151349759,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Ümraniye Belediyesi Çoçuk Trafik Eğitim Parkı,İSTANBUL,İDEALİST KENT,ÜMRANİYE,NECİP FAZIL,29.18099282936519,41.01370507822495,151349753,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
Kemerdere İsmihan Ismet Suzer İlkokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,MEHMET AKİF,29.186945437169516,41.01370507822495,151347141,"[<POLYGON ((29.179 41.007, 29.18 41.008, 29.181 41.008, 29.181 41.008, 29.182...>]"
