tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fuat Soylu İlköğretim Okulu Bahçesi,İSTANBUL,GÜNEY 3,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.966610810058246,41.04858921117499,151350591,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Piyalepaşa Spor Tesisi,İSTANBUL,GÜNEY 3,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.966610810058246,41.04858921117499,151350659,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Piyalepaşa Spor Tesisi Bitişiği Boş Alan,İSTANBUL,KURUDERE,BEYOĞLU,PİYALEPAŞA ,28.966610810058246,41.04858921117499,151346870,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Fatma Girik Parkı,İSTANBUL,DÜNDAR,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.965419706331282,41.049487522349985,151350590,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Dikilitaş Parkı,İSTANBUL,KURUDERE,BEYOĞLU,PİYALEPAŞA ,28.965419706331282,41.049487522349985,151346869,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Mahmut Şevket Paşa Halısaha Karşısı Piyale Paşa Bulvarı Yeşil Alanlar,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.96780204388547,41.049487522349985,151350592,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Tülin Manço Parkı,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.96303740130437,41.05128414469997,151348297,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Mahmut Şevket Paşa Spor Tesisi Halı Sahası,İSTANBUL,ŞİMŞEK,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.966611005217477,41.05128414469997,151350593,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Anadolu Parkı,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.963037417569115,41.05218245587496,151348295,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Kağıthane İTO Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.963037433834593,41.053080767049956,151348303,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Piyalepaşa Bulvarı,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,HALİL RIFAT PAŞA,28.967802369172965,41.053080767049956,151350599,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Taş Kızak Parkı,İSTANBUL,DARÜLACEZE,ŞİŞLİ,HALİL RIFAT PAŞA,28.96422873273553,41.05487738939994,151350595,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
Halil Rıfat Paşa Parkı,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,HALİL RIFAT PAŞA,28.966611330541827,41.055775700574934,151350594,"[<POLYGON ((28.963 41.055, 28.962 41.054, 28.962 41.054, 28.962 41.053, 28.96...>]"
