tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
2634 Sokak Parkı,İSTANBUL,HALKALI,BAĞCILAR,MAHMUTBEY,28.81751301795309,41.04512151117499,151345823,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
15 Temmuz Mahallesi Yüzme Havuzu Parkı,İSTANBUL,HALKALI,BAĞCILAR,15 TEMMUZ,28.81751301795309,41.04512151117499,151345936,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
15 Temmuz İlkokulu ve Erol Battal Ortaokulu Bahçesi,İSTANBUL,HALKALI,BAĞCILAR,15 TEMMUZ,28.81751301795309,41.04512151117499,151345941,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Hicret Parkı,İSTANBUL,DEVEKALDIRIMI,BAĞCILAR,MAHMUTBEY,28.81989519744136,41.04512151117499,151345824,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Peyami Safa Ortaokulu Bahçesi,İSTANBUL,DEVEKALDIRIMI,BAĞCILAR,MAHMUTBEY,28.81989519744136,41.04512151117499,151345833,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,DEVEKALDIRIMI,BAĞCILAR,MAHMUTBEY,28.821086287185498,41.04512151117499,151345831,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Zeynel Abidin Cami Yanı Park,İSTANBUL,1372.,BAĞCILAR,15 TEMMUZ,28.82346846667377,41.04512151117499,151345940,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Ulubatlı Hasan Parkı,İSTANBUL,2.HÜRRİYET,KÜÇÜKÇEKMECE,ATATÜRK,28.809175406003824,41.04601982234998,151349920,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Halkalı Güneş Ortaokulu Bahçesi,İSTANBUL,2.HÜRRİYET,KÜÇÜKÇEKMECE,ATAKENT,28.809175406003824,41.04601982234998,151350130,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Orhan Saral İlkokulu Bahçesi,İSTANBUL,2.HÜRRİYET,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.809175406003824,41.04601982234998,151350029,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Aliya İzzet Bogoviç Anadolu Lisesi Bahçesi,İSTANBUL,TAŞOCAĞI YOLU,BAĞCILAR,MAHMUTBEY,28.81155761801147,41.04601982234998,151345826,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Kaptan-ı Derya Piri Reis Parkı,İSTANBUL,2619.,BAĞCILAR,MAHMUTBEY,28.824659784053523,41.04601982234998,151345819,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Dr. Kemal Naci Ekşi Anadolu Lisesi Bahçesi,İSTANBUL,HALKALI,BAĞCILAR,MAHMUTBEY,28.825850890057346,41.04601982234998,151345828,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Şehit Karslı Ali Ortaokulu Bahçesi,İSTANBUL,2611.,BAĞCILAR,MAHMUTBEY,28.82704199606117,41.04601982234998,151345834,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Kayısı Bahçesi Yeşil Alan,İSTANBUL,DEVEKALDIRIMI,BAĞCILAR,GÜNEŞLİ,28.82704199606117,41.04601982234998,151345887,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Münir Tınaztepe Anadolu Lisesi Bahçesi,İSTANBUL,HALKALI,BAĞCILAR,MAHMUTBEY,28.829424208068815,41.04601982234998,151345832,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mahmutbey Trafik Parkı,İSTANBUL,2640.,BAĞCILAR,MAHMUTBEY,28.817513538298485,41.04871475587496,151345821,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Orhan Cemal Fersoy Anadolu Lisesi Bahçesi,İSTANBUL,2.HÜRRİYET,KÜÇÜKÇEKMECE,ATAKENT,28.809175471049947,41.049613067049954,151350103,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Şehit İbrahim Yılmaz Parkı,İSTANBUL,İNÖNÜ,BAĞCILAR,DEMİRKAPI,28.829425378899032,41.049613067049954,151345969,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Tahsin Banguoğlu İlkokulu Bahçesi,İSTANBUL,BAHARİYE,KÜÇÜKÇEKMECE,MEHMET AKİF,28.80917548731332,41.05051137822495,151349932,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Piri Reis Parkı,İSTANBUL,2578.,BAĞCILAR,MAHMUTBEY,28.824660922386443,41.05051137822495,151345822,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mehmet Akif Mahallesi Muhtarlığı Park,İSTANBUL,BAHARİYE,KÜÇÜKÇEKMECE,MEHMET AKİF,28.80917550357743,41.05140968939994,151349931,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mahmutbey İlkokulu Bahçesi,İSTANBUL,2581.,BAĞCILAR,MAHMUTBEY,28.82227874292913,41.05140968939994,151345830,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mahmutbey Stadyum Parkı,İSTANBUL,2659.,BAĞCILAR,MAHMUTBEY,28.813940399211365,41.05230800057493,151345835,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
2356 Sokak Parkı,İSTANBUL,İNÖNÜ,BAĞCILAR,GÖZTEPE,28.82942625716091,41.05230800057493,151345954,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Hacı Bostan Cami ve Yanındaki Parkı,İSTANBUL,2658.,BAĞCILAR,MAHMUTBEY,28.813940561870886,41.05410462292492,151345825,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Soğuksu Parkı,İSTANBUL,ORDU,BAĞCILAR,MAHMUTBEY,28.824662060977303,41.05500293409991,151345820,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Mahmutbey Çadır Alanı Bahçesi,İSTANBUL,PEYAMİ SAFA,BAĞCILAR,MAHMUTBEY,28.818705864181272,41.0559012452749,151345829,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Şeyh Şamil Parkı,İSTANBUL,İNÖNÜ,BAĞCILAR,GÖZTEPE,28.830619331489807,41.05769786762489,151345949,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Bölge İdare Mahkemesi Önü Yeşil Alan,İSTANBUL,2482.,BAĞCILAR,MAHMUTBEY,28.82942830690311,41.05859617879988,151345827,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
Füruzan Sadıkoğlu Ortaokulu Bahçesi,İSTANBUL,İNÖNÜ,BAĞCILAR,GÖZTEPE,28.83061964061995,41.05859617879988,151345956,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
İstoç İlkokulu Bahçesi,İSTANBUL,İNÖNÜ,BAĞCILAR,GÖZTEPE,28.83181227608476,41.06218942349985,151345959,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
İSTOÇ Kavşağı Piknik Alanı Bahçesi,İSTANBUL,İNÖNÜ,BAĞCILAR,GÖZTEPE,28.83062149569485,41.06398604584984,151345958,"[<POLYGON ((28.83 41.045, 28.83 41.045, 28.83 41.047, 28.83 41.048, 28.83 41....>]"
