tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ulusum Caddesi Parkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.66684584422367,40.958062711174996,151346717,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Deprem Öncü İşaretleri İzleme İstasyonu,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.66684584422367,40.958062711174996,151346710,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kaptanı Derya Sokak Parkı 2,İSTANBUL,MARMARA,BEYLİKDÜZÜ,SAHİL,28.66684584422367,40.958062711174996,151346835,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Hürriyet Parkı Karşısı Refüj Alanı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.669224879112765,40.958062711174996,151346719,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Ulus Parkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.66803560449531,40.95896102234999,151346716,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Beyazlale Sokak Parkı,İSTANBUL,MARMARA,BEYLİKDÜZÜ,SAHİL,28.65732999607295,40.960757644699974,151346828,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kalyon Sokak Parkı,İSTANBUL,MARMARA,BEYLİKDÜZÜ,SAHİL,28.658519675419786,40.96165595587497,151346833,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Hürriyet Parkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.672794661853704,40.96165595587497,151346712,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
İhlas 1.Kısım Çarşı Otoparkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.67636412090005,40.96345257822495,151346722,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Marmara Beylik Spor Kulübü,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.679932964659148,40.96345257822495,151346720,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kavaklıkent Parkı,İSTANBUL,BAYRAKTAR,BEYLİKDÜZÜ,SAHİL,28.65970977578269,40.96524920057494,151346836,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Özel Marmara Evleri İhlas Koleji,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.684692362212253,40.96524920057494,151346721,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kaptanı Derya Sokak Parkı 1,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,SAHİL,28.658520695662926,40.9697407564499,151346834,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kadir Topbaş Parkı,İSTANBUL,NİL,BEYLİKDÜZÜ,MARMARA,28.66684879132585,40.9697407564499,151346714,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Hanedan Sokak Parkı 3,İSTANBUL,MAVİ AKDENİZ,BEYLİKDÜZÜ,SAHİL,28.651382344149848,40.970639067624894,151346832,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
İlhan Selçuk Parkı,İSTANBUL,NİL,BEYLİKDÜZÜ,MARMARA,28.664469918576632,40.97243568997488,151346713,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Mustafa Kemal Caddesi Parkı,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,SAHİL,28.652572185496513,40.97333400114987,151346837,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Sokullu Caddesi Parkı,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,KAVAKLI,28.658521149237796,40.97333400114987,151346747,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Aşık Veysel Parkı,İSTANBUL,İHTİŞAM,BEYLİKDÜZÜ,MARMARA,28.66447050181036,40.97513062349986,151346709,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
24.Sokak Parkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,YAKUPLU,28.68350861157933,40.97692724584984,151346654,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Volkan Parkı,İSTANBUL,YURT,BEYLİKDÜZÜ,MARMARA,28.668040706404177,40.977825557024836,151346718,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
234. Sokak Ağaçlandırma Alanı,İSTANBUL,107.,BEYLİKDÜZÜ,MARMARA,28.668040949473262,40.97872386819983,151346708,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
İhlas 1.Kısım İlkokulu Bahçesi,İSTANBUL,ÖNDER,BEYLİKDÜZÜ,MARMARA,28.67637017922745,40.97872386819983,151346724,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Gültekin Sokak Parkı,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,KAVAKLI,28.662091661702217,40.97962217937482,151346735,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Agora Çiftliği,İSTANBUL,HÜRRİYET,BEYLİKDÜZÜ,MARMARA,28.67280081723421,40.97962217937482,151346723,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Fatih Sultan Mehmet Parkı,İSTANBUL,ENSAR,BEYLİKDÜZÜ,MARMARA,28.677560441915098,40.97962217937482,151346711,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Fatih Sultan Mehmet Cadde Üzeri Parkı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,YAKUPLU,28.677561187411367,40.98141880172481,151346657,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Ayasofya Cd Parkı,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,KAVAKLI,28.664472057487718,40.9823171128998,151346726,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kocatepe Caddesi Parkı,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,KAVAKLI,28.664472057487718,40.9823171128998,151346740,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Fatih Sultan Mehmet Caddesi Parkı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,YAKUPLU,28.66804216498378,40.98321542407479,151346656,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
Kızılay Parkı,İSTANBUL,238.,BEYLİKDÜZÜ,MARMARA,28.67042210698162,40.98321542407479,151346715,"[<POLYGON ((28.666 40.985, 28.666 40.985, 28.665 40.984, 28.665 40.983, 28.66...>]"
