tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bolluca Ek Hizmet Binası Bahçesi,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,HİCRET,28.76397029949894,41.200559511174994,151441245,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
23 Nisan Egemenlik Parkı,İSTANBUL,AKSAN,ARNAVUTKÖY,MAVİGÖL,28.76397029949894,41.200559511174994,151345343,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Bolluca Parkı,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,HİCRET,28.76397029949894,41.200559511174994,151345419,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Eyüp Sultan Caddesi Yeşil Alan,İSTANBUL,FETTAH,ARNAVUTKÖY,MAVİGÖL,28.76277648361125,41.20145782234999,151441255,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Orhaniye Sokak Spor Alanı,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,BOLLUCA,28.766358275416877,41.20145782234999,151441234,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Ulubatlı Hasan Parkı,İSTANBUL,MÜNTEHA,ARNAVUTKÖY,MAVİGÖL,28.760388753518324,41.20325444469997,151345341,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Ensar Parkı.,İSTANBUL,EDEBALİ,ARNAVUTKÖY,MAVİGÖL,28.763970643657068,41.20325444469997,151441256,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Malkoçoğlu Camii Bahçesi,İSTANBUL,ASIR,ARNAVUTKÖY,İMRAHOR,28.758000925103435,41.20594937822495,151345463,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Göktürk Caddesi Park Alanı,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,BOLLUCA,28.76635901296546,41.20594937822495,151441233,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Rabia Parkı,İSTANBUL,ŞAHİN TÜRK,ARNAVUTKÖY,MAVİGÖL,28.760389146922176,41.20864431174993,151345342,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
Mavigöl Parkı,İSTANBUL,HAYDARPAŞA,ARNAVUTKÖY,MAVİGÖL,28.765165393844352,41.20864431174993,151345477,"[<POLYGON ((28.767 41.212, 28.773 41.212, 28.773 41.212, 28.772 41.214, 28.77...>]"
