tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Tavukçuyolu Mesire Alanı,İSTANBUL,E 80,PENDİK,YENİŞEHİR,29.307540983732547,40.949406211174995,151350268,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Mehmet Corcor İlkokulu Bahçesi,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.307540983732547,40.949406211174995,151349257,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Cahit Zarifoğlu İmam Hatip  Ortaokulu Bahçesi,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.307540983732547,40.949406211174995,151349255,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Mecidiye Anaokulu Bahçesi,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.30635186497036,40.95030452234999,151349256,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
İstanbulensis Parkı,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.303973320008822,40.95120283352498,151349259,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Molla Gürani Parkı,İSTANBUL,ATATÜRK,SULTANBEYLİ,AKŞEMSETTİN,29.303973320008822,40.95120283352498,151349308,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Akşemsettin İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,ATATÜRK,SULTANBEYLİ,AKŞEMSETTİN,29.303973320008822,40.95120283352498,151349309,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Vega Koleji Bahçesi,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.301594710326768,40.952101144699974,151349258,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Ahmet Yesevi İlkokulu Bahçesi,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.299216035919805,40.952999455874966,151349254,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Şeyh Edebali Parkı,İSTANBUL,GÜRPINAR,SULTANBEYLİ,MECİDİYE,29.30278431455974,40.952999455874966,151349253,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Yavuz Sultan Selim Parkı,İSTANBUL,DEMOKRASİ,SULTANBEYLİ,MECİDİYE,29.29564795149633,40.95479607822495,151349251,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
İbrahim Dede Parkı,İSTANBUL,ATATÜRK,SULTANBEYLİ,HAMİDİYE,29.29207967286519,40.95659270057494,151349218,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Mecidiye Parkı,İSTANBUL,BEY,SULTANBEYLİ,MECİDİYE,29.298027127640506,40.95659270057494,151349252,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Hamidiye Parkı,İSTANBUL,ATATÜRK,SULTANBEYLİ,HAMİDİYE,29.290890214284662,40.95749101174993,151349216,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Adnan Menderes Parkı,İSTANBUL,HAK,SULTANBEYLİ,TURGUT REİS,29.289700723330334,40.95838932292492,151349304,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Maraşal Fevzi Çakmak Ortaokulu Bahçesi,İSTANBUL,HÜSNA,SULTANBEYLİ,MECİDİYE,29.29921690997302,40.95838932292492,151349326,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Yıldız Parkı,İSTANBUL,VAPURİSKELESİ,BEŞİKTAŞ,YILDIZ,29.02517481724855,41.04788621117499,151346448,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Fındık Fatma Parkı,İSTANBUL,VAPURİSKELESİ,BEŞİKTAŞ,MECİDİYE,29.02517481724855,41.04788621117499,151346476,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Emin Vakfı Korusu,İSTANBUL,MECİDİYE KÖPRÜSÜ,BEŞİKTAŞ,ORTAKÖY,29.02517481724855,41.04788621117499,151346460,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Yahya Kemal Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,SERENCEBEY YOKUŞU,BEŞİKTAŞ,CİHANNÜMA,29.018028320034993,41.05058114469997,151346470,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Balmumcu Parkı,İSTANBUL,MUSTAFA İZZET EFENDİ,BEŞİKTAŞ,BALMUMCU,29.01921950861142,41.05058114469997,151346444,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Hayrettin Karaca parkı,İSTANBUL,DEREBOYU,BEŞİKTAŞ,ORTAKÖY,29.02041069718785,41.05058114469997,151346461,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Meyve Bahçesi parkı,İSTANBUL,DEREBOYU,BEŞİKTAŞ,ORTAKÖY,29.02041098994947,41.052377767049954,151346462,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Eren Sokak Yeşil alanı,İSTANBUL,BARBAROS,BEŞİKTAŞ,DİKİLİTAŞ,29.013263760912555,41.05417438939994,151346442,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
Yenidoğan Sok. Parkı,İSTANBUL,BARBAROS,BEŞİKTAŞ,DİKİLİTAŞ,29.01207253980926,41.05507270057493,151346439,"[<POLYGON ((29.292 40.962, 29.292 40.962, 29.292 40.962, 29.292 40.962, 29.29...>, <POLYGON ((29.026 41.047, 29.026 41.047, 29.027 41.047, 29.027 41.047, 29.02...>]"
