tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
75. Yıl Çocuk Parkı,İSTANBUL,ATAKAN,ŞİŞLİ,MECİDİYEKÖY,28.993688894712843,41.06748301117499,151350579,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Kuştepe Çocuk Parkı,İSTANBUL,ŞEHİT AHMET,ŞİŞLİ,KUŞTEPE,28.993688894712843,41.06748301117499,151350615,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Ali Atmaca Parkı,İSTANBUL,ŞEHİT AHMET,ŞİŞLİ,KUŞTEPE,28.993688894712843,41.06748301117499,151350620,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Eski Alisamiyen Garaj Sokak(Yeni Metro Çıkışı),İSTANBUL,BÜYÜKDERE,ŞİŞLİ,FULYA,28.994880389425685,41.06748301117499,151350647,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Nejat Uygur Parkı,İSTANBUL,BÜYÜKDERE,ŞİŞLİ,FULYA,28.994880389425685,41.06748301117499,151350646,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Avni Dilligil Çocuk Parkı,İSTANBUL,CEMAL SAHİR,ŞİŞLİ,GÜLBAHAR,28.999646368277052,41.06748301117499,151350656,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Çevre Kültür Parkı,İSTANBUL,YILDIZ POSTA,BEŞİKTAŞ,GAYRETTEPE,29.000837862989894,41.06748301117499,151346473,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Selim Sırrı Tarcan İlkokulu Bahçesi,İSTANBUL,ŞEHİT ERTUĞRUL KABATAŞ,ŞİŞLİ,GÜLBAHAR,28.99845495495441,41.068381322349985,151350654,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Selahattin Eyyubi İlköğretim Okulu Bahçesi,İSTANBUL,ŞEHİT ERTUĞRUL KABATAŞ,ŞİŞLİ,GÜLBAHAR,28.999646465945293,41.068381322349985,151350653,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Kuştepe Semt Pazarı ve Halı Saha,İSTANBUL,KISMET,ŞİŞLİ,KUŞTEPE,28.993688943549174,41.07017794469997,151350616,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Handan Ziya Öniş Okulu Bahçesi,İSTANBUL,KISMET,ŞİŞLİ,KUŞTEPE,28.993688959829427,41.071076255874964,151350617,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Kocatepe İlkokulu Bahçesi.,İSTANBUL,GALATA DERESİ,KAĞITHANE,TELSİZLER,28.998455280552076,41.071974567049956,151348212,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Bilgi Üniversitesi Bahçesi,İSTANBUL,ŞEHİT ER CİHAN NAMLI,ŞİŞLİ,KUŞTEPE,28.993689024957813,41.074669500574934,151350621,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Hanımeli Parkı,İSTANBUL,GALATA DERESİ,KAĞITHANE,TELSİZLER,28.993689057526435,41.07646612292492,151348211,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Oto Yıkama Alanı (Yeşilce Caddesi),İSTANBUL,YEŞİLCE,ŞİŞLİ,KUŞTEPE,28.993689057526435,41.07646612292492,151350619,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
Gültepe İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GALATA DERESİ,KAĞITHANE,GÜLTEPE,28.993689057526435,41.07646612292492,151348205,"[<POLYGON ((29.001 41.067, 29.001 41.067, 29.001 41.067, 29.001 41.068, 29.00...>]"
