tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Erkan Karakaş Parkı,İSTANBUL,SEYİT GAZİ,SULTANBEYLİ,MEHMET AKİF,29.26415907449296,40.950383211174994,151349209,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Mehmet Akif Orman Toplanma Alanı,İSTANBUL,SEYİT GAZİ,SULTANBEYLİ,MEHMET AKİF,29.26415907449296,40.950383211174994,151349189,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Aşık Veysel Parkı,İSTANBUL,KIRLANGIÇ,SULTANBEYLİ,YAVUZ SELİM,29.26415907449296,40.950383211174994,151349324,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Şehit Üsteğmen Rahim Çelik Parkı,İSTANBUL,KURAN KURSU,SULTANBEYLİ,MEHMET AKİF,29.265348680131098,40.95217983352498,151349210,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Adnan Kahveci Parkı,İSTANBUL,ELÇİ,SULTANBEYLİ,MEHMET AKİF,29.26653822104778,40.95307814469997,151349211,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Abdurrahman Gazi Parkı,İSTANBUL,ORMAN,SULTANBEYLİ,ABDURRAHMANGAZİ,29.261780640002044,40.95487476704996,151349322,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Gölet İlkokulu Bahçesi,İSTANBUL,CEBECİ,SULTANBEYLİ,FATİH ,29.27010686000562,40.95487476704996,151349224,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Fatih Ortaokulu Bahçesi,İSTANBUL,CEBECİ,SULTANBEYLİ,FATİH ,29.27010686000562,40.95487476704996,151349223,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Aydos Ortaokulu - Aydos İmam Hatip Ortaokulu Bahçesi,İSTANBUL,SEYMEN,SULTANBEYLİ,MEHMET AKİF,29.25940175237276,40.95577307822495,151349213,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,AKSU,SULTANBEYLİ,ABDURRAHMANGAZİ,29.25940175237276,40.95577307822495,151349320,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Sultanbeyli Gölet Sosyal Tesis Alanı,İSTANBUL,PAMUK,SULTANBEYLİ,YAVUZ SELİM,29.271296514236553,40.95577307822495,151349323,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Belediye Stadyumu,İSTANBUL,GÜLCAN,SULTANBEYLİ,MEHMET AKİF,29.261780834241264,40.957569700574936,151349207,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,KARDEŞ,SULTANBEYLİ,MEHMET AKİF,29.264159948490303,40.95846801174993,151349208,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
Yunus Emre Parkı,İSTANBUL,BOZTEPE,SULTANBEYLİ,MEHMET AKİF,29.262970585633575,40.960264634099914,151349212,"[<POLYGON ((29.266 40.951, 29.266 40.951, 29.266 40.951, 29.266 40.951, 29.26...>, <POLYGON ((28.808 41.05, 28.809 41.051, 28.809 41.052, 28.81 41.054, 28.81 4...>, <POLYGON ((29.142 41.002, 29.142 41.002, 29.142 41.003, 29.143 41.003, 29.14...>, <POLYGON ((29.183 41.016, 29.183 41.016, 29.183 41.016, 29.183 41.016, 29.18...>]"
