tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yusuf Akdaş İlköğretim Okulu Bahçesi,İSTANBUL,1932.,ESENYURT,MEHTERÇEŞME,28.660866389971176,41.01514001117499,151347457,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Sebahattin Başkan Parkı,İSTANBUL,1932.,ESENYURT,MEHTERÇEŞME,28.660866389971176,41.01514001117499,151347454,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
2120. Sokak Parkı,İSTANBUL,2131.,ESENYURT,GÜZELYURT,28.660866389971176,41.01514001117499,151347400,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Yürüyüş Parkı,İSTANBUL,2068.,ESENYURT,CUMHURİYET,28.659675891183753,41.016038322349985,151347423,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Nazım Hikmet Bulvarı - 2068 Sk. Kesişimi Toplanma Alanı,İSTANBUL,2068.,ESENYURT,CUMHURİYET,28.659675891183753,41.016038322349985,151347427,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Şirinler Kreş Parkı,İSTANBUL,1919.,ESENYURT,MEHTERÇEŞME,28.66086645491167,41.016038322349985,151347455,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
1981. Sokak Parkı,İSTANBUL,2068.,ESENYURT,CUMHURİYET,28.657294796200368,41.01783494469997,151347425,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Menekşe Parkı,İSTANBUL,1946.,ESENYURT,MEHTERÇEŞME,28.65967603731308,41.01873325587496,151347456,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Şehitler Parkı,İSTANBUL,BAĞDAT,ESENYURT,MEHMET AKİF ERSOY,28.665629099501544,41.01873325587496,151347479,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Gaziler Parkı,İSTANBUL,1814.,ESENYURT,MEHTERÇEŞME,28.665629099501544,41.01873325587496,151347480,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Esenyurt İhsan Nakipoğlu Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,1953.,ESENYURT,YEŞİLKENT,28.658485457351517,41.019631567049956,151347407,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Turgut Özal Stadı,İSTANBUL,1819.,ESENYURT,MEHTERÇEŞME,28.665629229406065,41.019631567049956,151347458,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Papatya Bilgi Evi Parkı,İSTANBUL,1953.,ESENYURT,YEŞİLKENT,28.662057505770473,41.02142818939994,151347405,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
Esenyurt Devlet Hastanesi Döner Kavşak Yeşil Alan ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,1808.,ESENYURT,YEŞİLKENT,28.666820442718322,41.02322481174993,151347490,"[<POLYGON ((28.667 41.025, 28.667 41.025, 28.667 41.025, 28.667 41.025, 28.66...>]"
