tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Dörtyol Meydan,İSTANBUL,ATIŞALANI,ESENLER,FEVZİ ÇAKMAK,28.880879356561824,41.03848091117499,151347361,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Adnan Büyükdeniz Dijital Kütüphane Meydanı,İSTANBUL,309.,ESENLER,MENDERES,28.880879356561824,41.03848091117499,151347322,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Ressam Şevket Dağ İlkokulu Bahçesi,İSTANBUL,İNÖNÜ,ESENLER,NİNE HATUN,28.880879356561824,41.03848091117499,151347302,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Prof. Dr. Adem Baştürk Kültür Merkezi,İSTANBUL,FEVZİ ÇAKMAK,ESENLER,YAVUZ SELİM,28.88207032613205,41.03848091117499,151347305,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Menderes Bölge Parkı,İSTANBUL,331.,ESENLER,MENDERES,28.872542585824473,41.039379222349986,151347323,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Menderes Ortaokulu Bahçesi,İSTANBUL,331.,ESENLER,MENDERES,28.872542585824473,41.039379222349986,151347325,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Hasip Dinçsoy İlkokulu Bahçesi,İSTANBUL,331.,ESENLER,MENDERES,28.872542585824473,41.039379222349986,151347324,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Atışalanı Caddesi Halkbank Karşısı Pazar Yeri,İSTANBUL,359.,ESENLER,MENDERES,28.87730661039726,41.04027753352498,151347327,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Öz-De-Bir Ortaokulu Bahçesi,İSTANBUL,355.,ESENLER,MENDERES,28.87730669167585,41.04117584469997,151347326,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Mareşal Fevzi Çakmak Parkı,İSTANBUL,ATIŞALANI,ESENLER,FEVZİ ÇAKMAK,28.878497905092882,41.04297246704996,151347293,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Cumhuriyet İlkokulu Bahçesi.,İSTANBUL,ENDÜLÜS,ESENLER,KAZIM KARABEKİR,28.874924850096207,41.04476908939994,151347355,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Kazım Karabekir Durak Arkası Açık Otopark,İSTANBUL,KAZIM KARABEKİR,ESENLER,KAZIM KARABEKİR,28.87611593346161,41.04476908939994,151347354,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
Kazım Karabekir 1001. Sok Parkı (Karbeyaz),İSTANBUL,KAZIM KARABEKİR,ESENLER,KAZIM KARABEKİR,28.87611593346161,41.04476908939994,151439643,"[<POLYGON ((28.871 41.042, 28.872 41.041, 28.872 41.041, 28.872 41.041, 28.87...>]"
