tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karanfil Sokak Parkları ve Futbol Sahaları,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,GÖZTEPE,29.07046185822886,40.98126581117499,151348101,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Avni Akyol Güzel Sanatlar Lisesi Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,GÖZTEPE,29.07046185822886,40.98126581117499,151348104,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Mehmet Aydoslu İşitme Engelliler Orta Okulu Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,GÖZTEPE,29.07046185822886,40.98126581117499,151348107,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Erenköy Kız Anadolu Lisesi Bahçesi,İSTANBUL,ÖMERPAŞA,KADIKÖY,ERENKÖY,29.071651794051746,40.98126581117499,151348042,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Gardenya Çıkmazı Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,ERENKÖY,29.074031665697518,40.98126581117499,151348040,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Özlem Sokak Parkı,İSTANBUL,İLKYUVA,KADIKÖY,MERDİVENKÖY,29.074031665697518,40.98126581117499,151348156,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Milli Hakimiyet Parkı,İSTANBUL,İMAM RAMİZ,KADIKÖY,SAHRAYICEDİT,29.07641153734329,40.98126581117499,151348140,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Nadirağa Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,GÖZTEPE,29.068082116242415,40.982164122349985,151348102,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Leylak Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,MERDİVENKÖY,29.06451234119225,40.98306243352498,151348154,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
Çınar Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,MERDİVENKÖY,29.06451234119225,40.98306243352498,151348153,"[<POLYGON ((29.059 40.984, 29.059 40.984, 29.06 40.984, 29.061 40.984, 29.063...>]"
