tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hadım İbrahimpaşa Camii Avlusu,İSTANBUL,SİLİVRİKAPI,FATİH,SİLİVRİKAPI,28.920681062909487,41.00722591117499,151347642,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Oktay Spor Tesisleri (Halı Saha),İSTANBUL,SİLİVRİKAPI,FATİH,MEVLANAKAPI,28.920681062909487,41.00722591117499,151347660,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Silivrikapı Alay İmamı Parkı,İSTANBUL,SİLİVRİKAPI,FATİH,SİLİVRİKAPI,28.920681062909487,41.00722591117499,151347640,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Merkezefendi Parkı,İSTANBUL,KOZLU MEZARLIK YOLU,ZEYTİNBURNU,MERKEZEFENDİ,28.919490869388316,41.008124222349984,151349904,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Veledi Karabaş Parkı,İSTANBUL,TEKKE MASLAĞI,FATİH,MEVLANAKAPI,28.920681290110494,41.008124222349984,151347655,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Şehitler Parkı,İSTANBUL,YENİ ÇİFTLİK YOLU,ZEYTİNBURNU,SEYİTNİZAM,28.912348458660897,41.00902253352498,151349881,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Haluk Ündeğer Anadolu Lisesi Bahçesi,İSTANBUL,YENİ ÇİFTLİK YOLU,ZEYTİNBURNU,SEYİTNİZAM,28.912348458660897,41.00902253352498,151349883,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Seyyid Nizam Cami Bahçesi,İSTANBUL,YENİ ÇİFTLİK YOLU,ZEYTİNBURNU,SEYİTNİZAM,28.91472933256401,41.00902253352498,151349886,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Zeytinburnu Kız Anadolu İmam Hatip Bahçesi,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,KAZLIÇEŞME,28.91472933256401,41.00902253352498,151349895,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Merkezevleri Çarşısı,İSTANBUL,G/42.,ZEYTİNBURNU,MERKEZEFENDİ,28.909967665908354,41.00992084469997,151349909,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Tercüman Sitesi E5 Yanyol,İSTANBUL,MEVLANA,ZEYTİNBURNU,MERKEZEFENDİ,28.90758680823756,41.01081915587496,151349903,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Melek Hatun Parkı,İSTANBUL,GÜHERCİLER,FATİH,MEVLANAKAPI,28.920681971775288,41.01081915587496,151347650,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Mevlevihane Parkı,İSTANBUL,METRO,GÜNGÖREN,TOZKOPARAN,28.905205885644104,41.011717467049955,151349911,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Panorama 1453 Parkı,İSTANBUL,G/68.,ZEYTİNBURNU,MERKEZEFENDİ,28.91711074208516,41.011717467049955,151349912,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Topkapı Kültür Parkı,İSTANBUL,D 100 BAĞLANTI YOLU,ZEYTİNBURNU,MALTEPE,28.915920581094817,41.01351408939994,151349902,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Mevlanakapı Çok Amaçlı Rekreasyon Alanı,İSTANBUL,KALEDİBİ,FATİH,MEVLANAKAPI,28.92068288080582,41.01441240057493,151347662,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
Kırımlı Parkı,İSTANBUL,KALEDİBİ,FATİH,MEVLANAKAPI,28.92187414573583,41.01710733409991,151347653,"[<POLYGON ((28.921 41.006, 28.922 41.008, 28.922 41.01, 28.922 41.012, 28.921...>]"
