tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Uzungöl Parkı,İSTANBUL,İZCİ,SANCAKTEPE,MERVE,29.247023255842265,41.00090871117499,151350389,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,İZCİ,SANCAKTEPE,ABDURRAHMANGAZİ,29.247023255842265,41.00090871117499,151350446,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Akabe Cd. Boş Alan,İSTANBUL,İZCİ,SANCAKTEPE,MERVE,29.247023255842265,41.00090871117499,151350390,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Mehtap Parkı,İSTANBUL,İSLAMOĞLU,SANCAKTEPE,ABDURRAHMANGAZİ,29.24583319258147,41.001807022349986,151350448,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Defne Bahçesi,İSTANBUL,ZERDALİ,SANCAKTEPE,MERVE,29.250594419033316,41.001807022349986,151350545,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Ak Bahçe,İSTANBUL,ATAYOLU,SANCAKTEPE,OSMANGAZİ,29.25297503225924,41.001807022349986,151350413,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Dere Spor Tesisleri ve Çocuk Bahçesi,İSTANBUL,ATAYOLU,SANCAKTEPE,OSMANGAZİ,29.255355645485164,41.001807022349986,151350414,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Rıdvan Dilmen Spor Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,MEVLANA,29.255355645485164,41.001807022349986,151350542,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Safa İlkokulu Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.25178503390626,41.00270533352498,151350398,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Muhabbet Cd. Boş Alan,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.247023985931747,41.00360364469997,151350401,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Kut-Ül Amare Parkı,İSTANBUL,OBA,SULTANBEYLİ,MİMAR SİNAN,29.260117715615028,41.00360364469997,151349271,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Merve Parkı,İSTANBUL,BAYIR,SANCAKTEPE,MERVE,29.238691742302375,41.004501955874964,151350387,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Mücevher Sk. Boş Alan,İSTANBUL,BAYIR,SANCAKTEPE,MERVE,29.238691742302375,41.004501955874964,151350391,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Aydınlı Cd. Boş Alan,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.24107245287797,41.004501955874964,151350400,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Safa Tepesi Sosyal Tesisleri,İSTANBUL,MEVLANA,SANCAKTEPE,YUNUS EMRE,29.256547071619327,41.004501955874964,151350543,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Çayırlı Parkı,İSTANBUL,REGAİP,SANCAKTEPE,MERVE,29.236311129085276,41.00540026704996,151350386,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Sümbül Çocuk Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,YENİDOĞAN,29.235120838706802,41.00629857822495,151350509,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Cemal Süreyya Bahçesi,İSTANBUL,HALİFE,SANCAKTEPE,ABDURRAHMANGAZİ,29.23274011190774,41.00719688939994,151350455,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Meryem Çolak Parkı,İSTANBUL,BAHÇELİEVLER,SANCAKTEPE,YENİDOĞAN,29.243453747630962,41.00719688939994,151350503,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Kelebek Parkı,İSTANBUL,DESTAN,SANCAKTEPE,MERVE,29.23154974039574,41.008095200574935,151350388,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Yiğit Arda Kay Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,YENİDOĞAN,29.23869226158295,41.008095200574935,151350508,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
Serçe Çocuk Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,KEMAL TÜRKLER,29.230359336427224,41.00899351174993,151350520,"[<POLYGON ((29.261 41.004, 29.26 41.004, 29.26 41.004, 29.259 41.004, 29.258 ...>]"
