tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Konaşlı Parkı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.345608301936135,40.881693511174994,151349497,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Sedef Parkı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.345608301936135,40.881693511174994,151349500,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Hacet Deresi Mesire Alanı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.345608301936135,40.881693511174994,151349502,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Ceren Parkı,İSTANBUL,DEMOKRASİ,TUZLA,MESCİT,29.346796994113372,40.88349013352498,151349604,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Muhtarlık Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DEMOKRASİ,TUZLA,ORHANLI,29.34798517023769,40.88349013352498,151349507,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Kültür Parkı,İSTANBUL,DEMOKRASİ,TUZLA,ORHANLI,29.350362167610808,40.885286755874965,151349506,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Kardeşler Sokak Parkı,İSTANBUL,PAŞAKÖY,TUZLA,AYDINLI,29.33135128520132,40.891574934099914,151349496,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Lokman Hekim Camii Yanı Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,SANAYİ,29.327786466535493,40.89965973467485,151350290,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Köroğlu Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,HARMANDERE,29.328975191366187,40.90684622407479,151350242,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Okul Parkı Ve Bahçesi,İSTANBUL,FETTAH BAŞARAN,TUZLA,FATİH,29.336106765464745,40.90684622407479,151349573,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
Berrak Sitesi Yanı Çocuk Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,HARMANDERE,29.328975223659665,40.90774453524978,151350244,"[<POLYGON ((29.328 40.909, 29.328 40.909, 29.329 40.902, 29.329 40.901, 29.32...>]"
