tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Sezer Yükel Parkı,İSTANBUL,833.,GAZİOSMANPAŞA,MEVLANA,28.913761062665596,41.08306151117499,151347825,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Fetih Parkı,İSTANBUL,833.,GAZİOSMANPAŞA,MEVLANA,28.913761062665596,41.08306151117499,151347823,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Mevlana Anadolu Lisesi Bahçesi,İSTANBUL,833.,GAZİOSMANPAŞA,MEVLANA,28.913761062665596,41.08306151117499,151347831,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
832 Sokak Parkı,İSTANBUL,837.,GAZİOSMANPAŞA,MEVLANA,28.91495283977653,41.08306151117499,151347832,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Şehit Recep Bodur Parkı,İSTANBUL,911.,GAZİOSMANPAŞA,MEVLANA,28.91614461688746,41.08306151117499,151347833,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Mevlana Parkı,İSTANBUL,SEFA,GAZİOSMANPAŞA,MEVLANA,28.917336540615928,41.08395982234998,151347827,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Küçükköy Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,İMAM HATİP LİSESİ,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.91018582908004,41.084858133524975,151347843,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Küçükköy Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,İMAM HATİP LİSESİ,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.91018582908004,41.084858133524975,151347842,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Muhsin Yazıcıoğlu Parkı,İSTANBUL,909.,GAZİOSMANPAŞA,MEVLANA,28.91495306785342,41.084858133524975,151347824,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
Küçükköy Tatbikat Camii Bahçesi,İSTANBUL,İMAM HATİP LİSESİ,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.908994051971323,41.08575644469997,151347839,"[<POLYGON ((28.923 41.093, 28.922 41.094, 28.921 41.094, 28.919 41.094, 28.91...>, <POLYGON ((29.154 40.993, 29.153 40.992, 29.153 40.992, 29.153 40.992, 29.15...>, <POLYGON ((29.261 41.004, 29.261 41.004, 29.261 41.004, 29.261 41.004, 29.26...>, <POLYGON ((28.663 41.013, 28.662 41.014, 28.661 41.015, 28.66 41.015, 28.66 ...>]"
