tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Oktay Spor Tesisleri (Halı Saha),İSTANBUL,TEKKE MASLAĞI,FATİH,MEVLANAKAPI,28.922282799830906,41.006967811174995,151347660,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Hadım İbrahimpaşa Camii Avlusu,İSTANBUL,SİLİVRİKAPI,FATİH,SİLİVRİKAPI,28.922282799830906,41.006967811174995,151347642,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Silivrikapı Alay İmamı Parkı,İSTANBUL,SİLİVRİKAPI,FATİH,SİLİVRİKAPI,28.922282799830906,41.006967811174995,151347640,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Silivrikapı Set Üstü Parkı,İSTANBUL,SİLİVRİKAPI,FATİH,MEVLANAKAPI,28.92466359949272,41.006967811174995,151347651,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Veledi Karabaş Parkı,İSTANBUL,TEKKE MASLAĞI,FATİH,MEVLANAKAPI,28.922282832288506,41.00876443352498,151347655,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Şehit Yunus Emre Ezer İlkokulu Bahçesi,İSTANBUL,BÂLA TEKKESİ,FATİH,MEVLANAKAPI,28.92466369686552,41.00876443352498,151347659,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Uzun Yusuf Parkı.,İSTANBUL,KARAGÖZ TEKKESİ,FATİH,SEYYİD ÖMER,28.925854129154025,41.00876443352498,151347742,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Seyitömer Belediye Otoparkı,İSTANBUL,KARAGÖZ TEKKESİ,FATİH,SEYYİD ÖMER,28.925854129154025,41.00876443352498,151440906,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
İbrahim Çavuş Parkı,İSTANBUL,AYNALI BAKKAL,FATİH,MEVLANAKAPI,28.923473329498094,41.010561055874966,151347654,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Melek Hatun Parkı,İSTANBUL,GÜHERCİLER,FATİH,MEVLANAKAPI,28.922282880980422,41.01145936704996,151347650,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Aydın Kethüda (Kurşunlu) Camii Avlusu,İSTANBUL,KERESTECİ VELİ,FATİH,ŞEHREMİNİ,28.92585438885012,41.01235767822495,151347678,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Panorama 1453 Parkı,İSTANBUL,PROF. DR. NECMETTİN ERBAKAN,ZEYTİNBURNU,MERKEZEFENDİ,28.922282929678953,41.01415430057494,151349912,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Kırımlı Parkı,İSTANBUL,KATİP MURAT CAMİİ ARALIĞI,FATİH,MEVLANAKAPI,28.923473459357908,41.01415430057494,151347653,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Ali Nar İmam Hatip Ortaokulu Bahçesi,İSTANBUL,KATİP MURAT CAMİİ,FATİH,MEVLANAKAPI,28.924663989036862,41.01415430057494,151347657,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
İbrahim Alaettin Gövsa Ortaokulu-Kara Ahmet Paşa İlköğretim Okulu Bahçesi,İSTANBUL,BIÇKI,FATİH,MEVLANAKAPI,28.925854518715816,41.01415430057494,151347661,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Büyük Saray Meydanı Parkı,İSTANBUL,KÜÇÜK SARAY MEYDANI,FATİH,ŞEHREMİNİ,28.92704504839477,41.01415430057494,151347677,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Mevlanakapı Çok Amaçlı Rekreasyon Alanı,İSTANBUL,KALEDİBİ,FATİH,MEVLANAKAPI,28.922282945913267,41.01505261174993,151347662,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
Kemikliburun Parkı,İSTANBUL,HATİP,FATİH,MEVLANAKAPI,28.92347352429664,41.01595092292492,151347656,"[<POLYGON ((28.921 41.006, 28.922 41.006, 28.922 41.006, 28.922 41.006, 28.92...>]"
