tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Prof. Dr. Aziz Sancar Nobel Parkı ( Eski İsmi Fazıl Ört Parkı),İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,SİNANOBA,28.538027559976282,40.99873351117499,151346999,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Büyük Atatürk Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,MİMAROBA,28.538027559976282,40.99873351117499,151347015,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Lozan Parkı (Eski Barış Manço Parkı) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,SİNANOBA,28.538027559976282,40.99873351117499,151347000,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Tarık Akan Parkı,İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,SİNANOBA,28.539217811084757,40.99873351117499,151347003,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Lavinya Parkı,İSTANBUL,DEMİRCAN,BÜYÜKÇEKMECE,SİNANOBA,28.542788564410184,40.99873351117499,151439878,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Zülfü Livaneli Kültür ve Sanat Merkezi Bahçesi,İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,SİNANOBA,28.535647171311215,40.99963182234998,151347004,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Mehtap Sokak 1 Parkı,İSTANBUL,BİLLUR,BÜYÜKÇEKMECE,MİMAROBA,28.535647171311215,40.99963182234998,151347017,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Kahraman Orkun Kaya Spor Tesisleri Bahçesi,İSTANBUL,KORULUK,BÜYÜKÇEKMECE,EKİNOBA,28.54635983684165,41.000530133524975,151346975,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Barış Sokak Parkı,İSTANBUL,GAYRET ÇIKMAZI,BÜYÜKÇEKMECE,MİMAROBA,28.53921829775768,41.00142844469997,151347018,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Halide Edip Adıvar Parkı,İSTANBUL,ÇARMIKLI,BÜYÜKÇEKMECE,MİMAROBA,28.532076563998675,41.00232675587496,151347020,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Papatya Sokak Parkı.,İSTANBUL,SAĞLIK 1,BÜYÜKÇEKMECE,MİMAROBA,28.539218459996686,41.00232675587496,151439883,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Orhan Kotan Parkı,İSTANBUL,YÜZYIL,BÜYÜKÇEKMECE,GÜZELCE,28.529695996899353,41.004123378224946,151347009,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Orçelik Parkı,İSTANBUL,NEŞE,BÜYÜKÇEKMECE,MİMAROBA,28.536838087597406,41.004123378224946,151347019,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Ekinoba Pazar Yeri,İSTANBUL,MUSTAFA KEMAL,BÜYÜKÇEKMECE,EKİNOBA,28.540409311433606,41.00502168939994,151346969,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Salih Bozok Parkı,İSTANBUL,MUSTAFA KEMAL,BÜYÜKÇEKMECE,EKİNOBA,28.54159967610939,41.00502168939994,151346970,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Füsun Sokak Parkı,İSTANBUL,FATİH 1,BÜYÜKÇEKMECE,MİMAROBA,28.530886442707864,41.00592000057493,151347016,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
19 Mayıs Gençlik Parkı,İSTANBUL,MUSTAFA KEMAL,BÜYÜKÇEKMECE,EKİNOBA,28.536838477041588,41.006818311749925,151346968,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Erdal Çiçek Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,MURAT ÇESME,28.528505745817334,41.0095132452749,151346914,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
Turan Sokak Parkı,İSTANBUL,MUSTAFA KEMAL,BÜYÜKÇEKMECE,EKİNOBA,28.53564853433494,41.010411556449895,151346971,"[<POLYGON ((28.547 40.998, 28.547 40.998, 28.547 40.998, 28.547 40.999, 28.54...>]"
