tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Selçuk Sultan Parkı,İSTANBUL,YEKTA EFENDİ,FATİH,MOLLA GÜRANİ,28.945680491271467,41.010613511174995,151347768,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Şehit Mehmet Çetinkaya Parkı,İSTANBUL,YEKTA EFENDİ,FATİH,MOLLA GÜRANİ,28.945680491271467,41.010613511174995,151347770,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Muratpaşa Parkı,İSTANBUL,YEKTA EFENDİ,FATİH,MOLLA GÜRANİ,28.945680491271467,41.010613511174995,151347771,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Aksaray Metro İstasyonu,İSTANBUL,ADNAN MENDERES VATAN,FATİH,İSKENDERPAŞA,28.946870956968297,41.010613511174995,151347689,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Dr. Metin Alatlı Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,HASEKİ SULTAN,28.942109191569486,41.01151182234999,151347663,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Haseki Külliye Alanı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,HASEKİ SULTAN,28.942109191569486,41.01151182234999,151347666,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Molla Şeref Parkı,İSTANBUL,SOFTA SİNAN,FATİH,MOLLA GÜRANİ,28.943299673497734,41.01151182234999,151347772,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Selçuk Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.93972829264159,41.01241013352498,151347684,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Çapa İlkokulu Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.93972829264159,41.01241013352498,151347682,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Çapa Fen Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.93972829264159,41.01241013352498,151347794,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Şehremini Anadolu Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.93853784317986,41.01330844469997,151347680,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Vatan Cad. Meydanı,İSTANBUL,OĞUZHAN,FATİH,MOLLA GÜRANİ,28.939728357573145,41.01330844469997,151347767,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Engelliler Parkı,İSTANBUL,FINDIKZADE,FATİH,MOLLA GÜRANİ,28.94091887196643,41.01330844469997,151347769,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
İskenderpaşa İlkokulu Bahçesi,İSTANBUL,ADNAN MENDERES VATAN,FATİH,İSKENDERPAŞA,28.943299900753004,41.01330844469997,151347692,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Şenol Güneş Parkı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,AKŞEMSETTİN,28.942109483761442,41.014206755874966,151347685,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
Özel Oğuzkaan İlkokulu Bahçesi,İSTANBUL,BEZM-İ ALEM,FATİH,MOLLA GÜRANİ,28.936156846861266,41.01510506704996,151347773,"[<POLYGON ((28.942 41.016, 28.942 41.016, 28.941 41.015, 28.941 41.015, 28.94...>]"
