tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Engelliler Eğitim Merkezi Bahçesi,İSTANBUL,RÜŞTÜ,BÜYÜKÇEKMECE,MURAT ÇESME,28.527672132688714,41.01096871117499,151346913,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Erdal Çiçek Parkı,İSTANBUL,RÜŞTÜ,BÜYÜKÇEKMECE,MURAT ÇESME,28.527672132688714,41.01096871117499,151346914,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Orhan Kotan Parkı,İSTANBUL,SÜLEYMANİYE,BÜYÜKÇEKMECE,GÜZELCE,28.527672132688714,41.01096871117499,151347009,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Çiltaş Sokak Parkı,İSTANBUL,VAROL,BÜYÜKÇEKMECE,MURAT ÇESME,28.5288626048035,41.01096871117499,151346912,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Füsun Sokak Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,MİMAROBA,28.530053076918286,41.01096871117499,151347016,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Şehit Sadık Bezer Parkı,İSTANBUL,GİZLİBAHÇE,BÜYÜKÇEKMECE,MURAT ÇESME,28.52767223007895,41.01186702234998,151346910,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Orçelik Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,MİMAROBA,28.534815160157898,41.01186702234998,151347019,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Turan Sokak Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,EKİNOBA,28.53600585952617,41.012765333524975,151346971,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Gazanfer Sokak Parkı,İSTANBUL,E5 LONDRA ASFALTI,BÜYÜKÇEKMECE,MURAT ÇESME,28.538386868684043,41.012765333524975,151439923,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
19 Mayıs Gençlik Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,EKİNOBA,28.53957737326298,41.012765333524975,151346968,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Ahmet Yesevi Parkı(Eski Ömür Sk. Parkı),İSTANBUL,PAYİDAR,BÜYÜKÇEKMECE,MURAT ÇESME,28.532434508121128,41.01366364469997,151346911,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Nasrettin Hoca Parkı,İSTANBUL,ESKİ SİLİVRİ,BÜYÜKÇEKMECE,MURAT ÇESME,28.540768153805917,41.01366364469997,151346915,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Hazar Sokak Parkı,İSTANBUL,D-100 KARAYOLU,BÜYÜKÇEKMECE,EKİNOBA,28.543149195430143,41.01366364469997,151346973,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
İhramcızade Cami Bahçesi,İSTANBUL,RÜMEYSA,BÜYÜKÇEKMECE,MURAT ÇESME,28.54314950387447,41.01456195587496,151346916,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
İSKİ Hizmet Alanı,İSTANBUL,MİMAR,BÜYÜKÇEKMECE,HÜRRİYET,28.53957867203483,41.01725688939994,151346945,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Halide Edip Adıvar Parkı (Eski Muhammed Ali Clay Parkı),İSTANBUL,ESKİ SİLİVRİ,BÜYÜKÇEKMECE,MİMARSİNAN,28.549103358052243,41.01725688939994,151346965,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Dilara Sokak Parkı,İSTANBUL,ESKİ SİLİVRİ,BÜYÜKÇEKMECE,MİMARSİNAN,28.55029394380442,41.01725688939994,151346964,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Güzelce Türkoba Cad. Parkı,İSTANBUL,SÜLEYMANİYE,BÜYÜKÇEKMECE,GÜZELCE,28.522910503978068,41.01815520057493,151439880,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Ulus Parkı,İSTANBUL,KURT 1,BÜYÜKÇEKMECE,ULUS,28.549103747736815,41.01815520057493,151346993,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
Reyhan Parkı,İSTANBUL,GÜLESER,BÜYÜKÇEKMECE,HÜRRİYET,28.537198409856153,41.02085013409991,151346944,"[<POLYGON ((28.536 41.012, 28.536 41.012, 28.539 41.013, 28.54 41.013, 28.545...>]"
