tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Sabri Akpınar Parkı,İSTANBUL,TUNA,BAYRAMPAŞA,İSMET PAŞA,28.908434392328015,41.04483831117499,151346417,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Dr. Fazıl Küçük Parkı,İSTANBUL,TUNA,BAYRAMPAŞA,MURATPAŞA,28.908434392328015,41.04483831117499,151346393,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
İsmet Paşa Parkı,İSTANBUL,TUNA,BAYRAMPAŞA,İSMET PAŞA,28.908434392328015,41.04483831117499,151346394,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Şehit Zafer Gürcan Işık Parkı,İSTANBUL,TUNA,BAYRAMPAŞA,İSMET PAŞA,28.904861203510976,41.045736622349985,151346395,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Dökümcüler Parkı,İSTANBUL,SİNEMA,BAYRAMPAŞA,MURATPAŞA,28.90605230438872,41.045736622349985,151346423,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Ayancık Sokak Parkı ,İSTANBUL,GÜLAY,BAYRAMPAŞA,MURATPAŞA,28.901287917137935,41.04663493352498,151346392,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Kocatepe Parkı.,İSTANBUL,AKPINAR,BAYRAMPAŞA,KOCATEPE,28.901287917137935,41.04663493352498,151346383,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Ahmet Sarıoğlu Parkı.,İSTANBUL,GÜLAY,BAYRAMPAŞA,MURATPAŞA,28.901287917137935,41.04663493352498,151346420,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Barış Parkı,İSTANBUL,ŞEHİR PARKI,BAYRAMPAŞA,KOCATEPE,28.90247906679773,41.04753324469997,151346384,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Muzaffer Öztekin Parkı.,İSTANBUL,İPEK,BAYRAMPAŞA,MURATPAŞA,28.904861398642126,41.04843155587496,151346391,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Şehit Onur Ayaydın Parkı,İSTANBUL,CİCOZ YOLU,BAYRAMPAŞA,KARTALTEPE,28.904861658858266,41.052024800574934,151346412,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Plevne Anadolu Lisesi Bahçesi,İSTANBUL,RAMİ KIŞLA,GAZİOSMANPAŞA,MERKEZ,28.90962664783936,41.05292311174993,151347869,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Hükümet Konağı Bahçesi.,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,MERKEZ,28.908435530722038,41.05382142292492,151347871,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Cumhuriyet Meydanı,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,MERKEZ,28.909626777968043,41.05382142292492,151347911,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
Şehit Hasan Güreşen Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,MERKEZ,28.907244381077,41.05471973409991,151347867,"[<POLYGON ((28.9 41.05, 28.9 41.049, 28.9 41.048, 28.9 41.046, 28.902 41.046,...>]"
