tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Valide Tayfun Spor Kulübü Halı Sahası,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MURATREİS,29.024392747135067,41.02065271117499,151350866,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Üsküdar Cumhuriyet Anadolu Meslek Lisesi Bahçesi,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MURATREİS,29.024392747135067,41.02065271117499,151350867,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Validei Atık Parkı,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,VALİDE-İ ATİK,29.024392747135067,41.02065271117499,151350811,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Soyak Sitesi Parkı ve Yanı,İSTANBUL,ŞEHİT AYDIN CANAY,ÜSKÜDAR,MURATREİS,29.026774041405204,41.02065271117499,151350868,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Tıknefes Parkı,İSTANBUL,ODALAR ÇIKMAZI,ÜSKÜDAR,MURATREİS,29.027964688540273,41.02065271117499,151350915,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Pazarbaşı Parkı,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,VALİDE-İ ATİK,29.02915533567534,41.02065271117499,151350812,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Ahmet Keleşoğlu Anadolu Lisesi Bahçesi,İSTANBUL,BİNBAŞI,ÜSKÜDAR,MURATREİS,29.03034598281041,41.02065271117499,151350916,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Fıstıklıbayır Parkı,İSTANBUL,ALLAME,ÜSKÜDAR,VALİDE-İ ATİK,29.03034598281041,41.02065271117499,151350896,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Huzur Parkı,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.032727277080546,41.02065271117499,151350849,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Otizm Merkezi Bahçesi,İSTANBUL,HATMİYAN,ÜSKÜDAR,MURATREİS,29.024392763374703,41.02155102234998,151350865,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Çinili Park,İSTANBUL,SİLAHTARBAHÇE,ÜSKÜDAR,MURATREİS,29.029155416873518,41.02155102234998,151350862,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Goncagül Parkı,İSTANBUL,MURADİYE MEKTEBİ,ÜSKÜDAR,MURATREİS,29.031536743622926,41.02155102234998,151350863,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Gülsev Parkı,İSTANBUL,YENİDERSHANE,ÜSKÜDAR,MURATREİS,29.03272740699763,41.02155102234998,151350864,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Bağlarbaşı Kongre ve Kültür Merkezi Önü,İSTANBUL,GAZİ,ÜSKÜDAR,SELAMİ ALİ,29.033918070372334,41.02155102234998,151350879,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Marmara Üniversitesi Bahçesi,İSTANBUL,MAHİR İZ,ÜSKÜDAR,ALTUNİZADE,29.035108733747037,41.02155102234998,151350911,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Bağlarbaşı Parkı,İSTANBUL,GAZİ,ÜSKÜDAR,SELAMİ ALİ,29.035108733747037,41.02155102234998,151350876,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
15 Temmuz Gazileri Anadolu Lisesi Bahçesi,İSTANBUL,SELAMİALİ EFENDİ,ÜSKÜDAR,SELAMİ ALİ,29.024392779615077,41.022449333524975,151350881,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Devrim Sokak Parkı,İSTANBUL,GAZİ,ÜSKÜDAR,SELAMİ ALİ,29.033918216535703,41.022449333524975,151350918,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Selami Ali Efendi Cami Bahçesi,İSTANBUL,SELAMİALİ EFENDİ,ÜSKÜDAR,SELAMİ ALİ,29.024392795856183,41.02334764469997,151350880,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
Üzümkızı Parkı,İSTANBUL,GAZİ,ÜSKÜDAR,SELAMİ ALİ,29.027964883424737,41.02334764469997,151350874,"[<POLYGON ((29.037 41.024, 29.035 41.024, 29.034 41.024, 29.034 41.024, 29.03...>]"
