tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kemal Paşa Parkı,İSTANBUL,3004.,ATAŞEHİR,AŞIKVEYSEL,29.08973068854983,40.995268811174995,151345563,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Yeni Sahra Spor Kulübü,İSTANBUL,MUHTAR AHMET AYDIN,ATAŞEHİR,YENİSAHRA,29.08973068854983,40.995268811174995,151345594,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Şehit Jandarma Er Fatih Çaybaşı Parkı,İSTANBUL,ARDIÇ KUŞU,ATAŞEHİR,ÖRNEK,29.08973068854983,40.995268811174995,151345483,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Doğuş Spor Kulübü,İSTANBUL,3004.,ATAŞEHİR,AŞIKVEYSEL,29.089730704768694,40.99616712234999,151345560,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Botanik Parkı,İSTANBUL,ŞEHİT CAHAR DUDAYEV,ATAŞEHİR,ESATPAŞA,29.089730704768694,40.99616712234999,151345545,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Orhan Veli Ortaokulu ve Aşık Veysel Lisesi Bahçesi,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.090920941976584,40.99706543352498,151345562,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Deniz Gezmiş Parkı,İSTANBUL,3064.,ATAŞEHİR,MUSTAFA KEMAL,29.092111211625866,40.99796374469997,151345490,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Defne Parkı,İSTANBUL,3064.,ATAŞEHİR,BARBAROS,29.092111211625866,40.99796374469997,151345568,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Pir Sultan Abdal Parkı ve Cem Evi Bahçesi,İSTANBUL,3004.,ATAŞEHİR,MUSTAFA KEMAL,29.093301513718764,40.998862055874966,151345491,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Sevgi Çiçeği Parkı,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.092111357622084,41.00065867822495,151345559,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Emre İncemollaoğlu Parkı,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.096872614681097,41.001556989399944,151345561,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 1.,İSTANBUL,BEGONYA,ATAŞEHİR,BARBAROS,29.098062916778396,41.001556989399944,151345566,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 2.,İSTANBUL,BEGONYA,ATAŞEHİR,BARBAROS,29.10044368321303,41.00245530057494,151345567,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 3.,İSTANBUL,BEGONYA,ATAŞEHİR,BARBAROS,29.10044368321303,41.00245530057494,151345570,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Sahil Parkı,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.094492172730227,41.00335361174993,151345564,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Bektaş Parkı,İSTANBUL,ESENEVLER,ÜMRANİYE,YENİŞEHİR,29.09925351091441,41.00335361174993,151349827,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Küçük Parkı,İSTANBUL,3004.,ÜMRANİYE,YENİŞEHİR,29.100443845460454,41.00335361174993,151349826,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
Ümraniye Cumhuriyet Mesleki Ve Teknik Anadolu Lisesi,İSTANBUL,3004.,ÜMRANİYE,YENİŞEHİR,29.1016341800065,41.00335361174993,151349825,"[<POLYGON ((29.102 41.004, 29.101 41.005, 29.099 41.006, 29.098 41.007, 29.09...>]"
