tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çanakkale Caddesi Yeşil Alan,İSTANBUL,ATABEY,ÇATALCA,BAHŞAYİŞ,28.545574853970564,41.12988561117499,151347073,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Ahmediye Parkı,İSTANBUL,AHMEDİYE-BAHŞAYİŞ,BÜYÜKÇEKMECE,AHMEDİYE,28.545574853970564,41.12988561117499,151346949,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Karaağaç Şenlik Parkı,İSTANBUL,ALİCAN,BÜYÜKÇEKMECE,KARAAĞAÇ,28.545574853970564,41.12988561117499,151346962,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Ahmediye Meydan,İSTANBUL,AHMEDİYE-BAHŞAYİŞ,BÜYÜKÇEKMECE,AHMEDİYE,28.543190317981782,41.13168223352498,151346950,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Hacı Teyfik Sokak Yeşil Alan,İSTANBUL,KOŞUYOLU,ÇATALCA,NAKKAŞ,28.54796223147934,41.134377167049955,151347026,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Nazlıgül Sokak Yeşil Alan,İSTANBUL,SÜTÇÜ PINAR,ÇATALCA,İZZETTİN,28.53365041066302,41.13707210057493,151347062,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
İzzettin Köy Meydanı,İSTANBUL,SÜTÇÜ PINAR,ÇATALCA,İZZETTİN,28.53365086806175,41.13886872292492,151347063,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Yeşil Bayır Meydanı,İSTANBUL,BABA NAKKAŞ,ARNAVUTKÖY,YEŞİLBAYIR,28.573019100668674,41.14605521232486,151345360,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Kocayusuf Parkı,İSTANBUL,SÜHEYLA,ARNAVUTKÖY,HASTANE ,28.573019100668674,41.14605521232486,151345381,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Kemal Angın Parkı,İSTANBUL,SÜHEYLA,ARNAVUTKÖY,HASTANE ,28.574213590894814,41.147851834674846,151345379,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Gazi Mustafa Kemal Parkı,İSTANBUL,SÜHEYLA,ARNAVUTKÖY,HASTANE ,28.580183558820906,41.1532417017248,151345380,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Şehit Jandarma Asteğmen Ali Yılmaz Parkı,İSTANBUL,HADIMKÖY,ARNAVUTKÖY,HADIMKÖY,28.567061359552063,41.15503832407479,151345395,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Bayındır Caddesi Parkı,İSTANBUL,HADIMKÖY,ARNAVUTKÖY,HADIMKÖY,28.580189624990236,41.15952987994975,151345393,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Akpınar Mesire Alanı,İSTANBUL,BALKIRI,ARNAVUTKÖY,YASSIÖREN,28.5575200173446,41.160428191124744,151441270,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Çerez Sokak Parkı,İSTANBUL,HADIMKÖY,ARNAVUTKÖY,HADIMKÖY,28.588551604853265,41.16851299169968,151345394,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Örcünlü Meydanı,İSTANBUL,BAŞKOMUTAN,ÇATALCA,ÖRCÜNLÜ,28.551566441366376,41.183784281674555,151347058,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Orkide Sokak (Park ve Meydan),İSTANBUL,BAŞKOMUTAN ATATÜRK,ÇATALCA,KIZILCAALİ,28.55753726679061,41.18827583754952,151347057,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
Yassı Ören Parkı,İSTANBUL,ÖRENBAYIRI,ARNAVUTKÖY,YASSIÖREN,28.57904158281444,41.207140372224366,151345452,"[<POLYGON ((28.545 41.129, 28.547 41.131, 28.55 41.136, 28.552 41.138, 28.56 ...>]"
