tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Nene Hatun İlkokulu Bahçesi.,İSTANBUL,ÇİNÇİN DERE,ESENLER,NİNE HATUN,28.876112497337676,41.032743811174996,151347301,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Aziziye Caddesi Parkı,İSTANBUL,ÇİNÇİN DERE,ESENLER,NİNE HATUN,28.876112497337676,41.032743811174996,151347297,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
125. Yıl Ortaokulu Bahçesi,İSTANBUL,ÇİNÇİN DERE,ESENLER,NİNE HATUN,28.876112497337676,41.032743811174996,151347299,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Esnaf Parkı,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.879685094675352,41.032743811174996,151347993,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Ayazma Parkı,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.879685094675352,41.032743811174996,151347994,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Zekai Şengör Parkı,İSTANBUL,147.,ESENLER,NİNE HATUN,28.876112546086297,41.03364212234999,151347296,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
İTO 15 Temmuz Şehitleri Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,HORASAN,ESENLER,NİNE HATUN,28.88087607420136,41.03364212234999,151347300,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Mustafa Yaşar Parkı,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.88087607420136,41.03364212234999,151347988,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Yeşil Camii Bahçesi,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.882066956230126,41.03364212234999,151347997,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Gaziler İmam Hatip Ortaokulu Bahçesi,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.883257838258892,41.03364212234999,151348000,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
İbni Sina Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,AYAZMA,GÜNGÖREN,GENÇOSMAN,28.883257838258892,41.03364212234999,151348004,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Dr. Kadir Topbaş Kültür Sanat Merkezi Bahçesi,İSTANBUL,HORASAN,ESENLER,NİNE HATUN,28.88087618795329,41.03454043352498,151347298,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Genç Osman İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ÇİNÇİNDERE,GÜNGÖREN,GENÇOSMAN,28.874921729060112,41.035438744699974,151348001,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Mehmet Akif Camii Bahçesi,İSTANBUL,ÇİNÇİNDERE,GÜNGÖREN,GENÇOSMAN,28.874921729060112,41.035438744699974,151347996,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Ressam Şevket Dağ İlkokulu Bahçesi,İSTANBUL,155.,ESENLER,NİNE HATUN,28.877303558120225,41.035438744699974,151347302,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Dörtyol Meydan,İSTANBUL,İSTANBUL,ESENLER,FEVZİ ÇAKMAK,28.88206721624045,41.035438744699974,151347361,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Menderes Ortaokulu Bahçesi,İSTANBUL,İNÖNÜ,ESENLER,MENDERES,28.874921794068584,41.03723536704996,151347325,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Sevgi Ormanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DOĞANBEY,BAĞCILAR,MERKEZ,28.874921794068584,41.03723536704996,151345916,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Adnan Büyükdeniz Dijital Kütüphane Meydanı,İSTANBUL,İNÖNÜ,ESENLER,MENDERES,28.87849463517146,41.03723536704996,151347322,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Menderes Bölge Parkı,İSTANBUL,İNÖNÜ,ESENLER,MENDERES,28.873730863287516,41.03813367822495,151347323,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Adnan Menderes Parkı,İSTANBUL,İNFAK,ARNAVUTKÖY,NENEHATUN,28.73743110149449,41.190467011174995,151345447,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Manolya Parkı,İSTANBUL,ABDÜLHAMİT,ARNAVUTKÖY,İSLAMBEY,28.73743110149449,41.190467011174995,151345368,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Açelya Parkı,İSTANBUL,FATİH,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,28.73743110149449,41.190467011174995,151345436,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Paksu Sokak Yeşil Alan,İSTANBUL,ABDÜLHAMİT,ARNAVUTKÖY,İSLAMBEY,28.73862483164394,41.190467011174995,151345377,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Şehit Polis Bünyamin Bütün Parkı,İSTANBUL,FATİH,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,28.73504377223073,41.19136532234999,151345438,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
Beyit Sokak Yeşil Alan,İSTANBUL,SUNGURLU,ARNAVUTKÖY,NENEHATUN,28.73623751875957,41.19136532234999,151441266,"[<POLYGON ((28.885 41.034, 28.883 41.036, 28.882 41.038, 28.882 41.038, 28.88...>, <POLYGON ((28.728 41.205, 28.728 41.204, 28.728 41.204, 28.728 41.202, 28.72...>]"
