tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ortaköy Vadisi Kentsel Park Alanı 1,İSTANBUL,YAZGÜLÜ,BEŞİKTAŞ,LEVAZIM,29.02162393305147,41.067159011174994,151346458,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Gözde Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.02162393305147,41.067159011174994,151346467,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Kor.Gen.Faruk Güventürk Parkı,İSTANBUL,YAZGÜLÜ,BEŞİKTAŞ,LEVAZIM,29.02162393305147,41.067159011174994,151346459,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Barış Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.01685801023937,41.068057322349986,151346469,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Aydın Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.01685801023937,41.068057322349986,151346468,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Robert Koleji Yeşil Alanı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KÜLTÜR,29.026390051196852,41.068057322349986,151346477,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Ulus Parkı,İSTANBUL,KOLEJ YOLU,BEŞİKTAŞ,KURUÇEŞME,29.027581556316537,41.068057322349986,151346465,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Birlik Parkı,İSTANBUL,AKMERKEZ LEVAZIM YOLU,BEŞİKTAŞ,NİSBETİYE,29.015666521398195,41.06895563352498,151346466,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Prof. Dr. Aykut Barka Parkı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KÜLTÜR,29.026390213981944,41.06895563352498,151346434,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
A. Yavuz Kocaömer Engelliler Parkı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KÜLTÜR,29.02639070238156,41.07165056704996,151346435,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Ballı Sokak Yeşil Alan,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,LEVENT,29.016858238169508,41.074345500574935,151346453,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Beşiktaş Spor Yazarları Derneği,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,LEVENT,29.02162481221057,41.07524381174993,151346455,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Dilek Sabancı Parkı,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,LEVENT,29.022816561569897,41.07614212292492,151346451,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
Alman Deresi Yürüyüş Parkuru,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,AKAT,29.026391516528424,41.07614212292492,151346446,"[<POLYGON ((29.014 41.069, 29.016 41.068, 29.016 41.068, 29.018 41.068, 29.01...>]"
