tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Sancaktepe Belediyesi Kreş Arka Tarafı,İSTANBUL,ŞİLE,SANCAKTEPE,HİLAL,29.258232863803844,41.02860661117499,151350530,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Lokman Ceylan Parkı,İSTANBUL,ORMAN,ÇEKMEKÖY,NİŞANTEPE,29.258232863803844,41.02860661117499,151347188,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Ayşe Çarmıklı  İlkokul ve Ortaokulu Bahçesi,İSTANBUL,KARŞIYAKA,SANCAKTEPE,YUNUS EMRE,29.258232863803844,41.02860661117499,151350466,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
TEV Ezel Gülen Kıray Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.261805236656727,41.02860661117499,151347187,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Nişantepe Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.26418696477401,41.029504922349986,151347189,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Nişantepe İlkokulu Bahçesi,İSTANBUL,ORMAN,ÇEKMEKÖY,NİŞANTEPE,29.258233058766482,41.03130154469997,151347186,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Alemdağ Emlak Konut Ortaokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.267759971279776,41.032199855874964,151347185,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,EKŞİOĞLU,29.25466062094078,41.035793100574935,151347262,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Alemdağ Emlak Konut Camii Bahçesi,İSTANBUL,DİKİLİAĞAÇ,ÇEKMEKÖY,NİŞANTEPE,29.265379396991097,41.03848803409991,151347184,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Erhallar Cami Bahçesi,İSTANBUL,HUZURLU,ÇEKMEKÖY,REŞADİYE,29.271340100066507,41.06004750229974,151347234,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
Reşadiye Parkı,İSTANBUL,HUZURLU,ÇEKMEKÖY,REŞADİYE,29.270150334928477,41.06633568052469,151347235,"[<POLYGON ((29.29 41.053, 29.287 41.053, 29.287 41.053, 29.286 41.053, 29.285...>]"
