tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Sadabat Mesire Alanı,İSTANBUL,EYÜP SULTAN,KAĞITHANE,MERKEZ,28.956568222238634,41.069002011174994,151348334,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Osmanlı Milli Arşiv Karşısı Mesire Alanı,İSTANBUL,EYÜP SULTAN,KAĞITHANE,MERKEZ,28.956568222238634,41.069002011174994,151348330,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Davet Mesire Alanı,İSTANBUL,EYÜP SULTAN,KAĞITHANE,NURTEPE,28.956568222238634,41.069002011174994,151348217,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Fidan Parkı ve Yanı Boş Alan,İSTANBUL,HALİT BİN VELİD,EYÜPSULTAN,EMNİYETTEPE,28.95656823851792,41.06990032234999,151347493,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Nişantaşlar Park,İSTANBUL,EYÜP SULTAN,KAĞITHANE,NURTEPE,28.96133439258961,41.06990032234999,151348214,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Davet Parkı,İSTANBUL,KARASU,KAĞITHANE,NURTEPE,28.957759809595895,41.07079863352498,151348215,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Hasbahçe Parkı,İSTANBUL,EYÜP SULTAN,KAĞITHANE,MERKEZ,28.96252612647226,41.07169694469997,151348315,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Yusuf Ömürlü Camii Avlusu,İSTANBUL,PUSULA,KAĞITHANE,NURTEPE,28.961334636801052,41.072595255874965,151348219,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Aşık Veysel İlkokulu Bahçesi.,İSTANBUL,PUSULA,KAĞITHANE,NURTEPE,28.961334636801052,41.072595255874965,151348220,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Nurtepe Sosyal Tesisleri,İSTANBUL,EYÜP SULTAN,KAĞITHANE,NURTEPE,28.962526224161262,41.072595255874965,151348216,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Aksoy Parkı,İSTANBUL,BENNUR,KAĞITHANE,NURTEPE,28.96371803947795,41.07439187822495,151348218,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Güzeltepe Parkı ve İBB Gecekondu Mesken Parkları,İSTANBUL,SOKULLU,EYÜPSULTAN,GÜZELTEPE,28.960143309974352,41.076188500574936,151347544,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Hüseyin Aksoy Parkı,İSTANBUL,BİRSEN,EYÜPSULTAN,GÜZELTEPE,28.961335043893882,41.07708681174993,151347549,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Hacı Ethem Üktem Ortaokulu Bahçesi,İSTANBUL,BARIŞ,KAĞITHANE,NURTEPE,28.96252671267266,41.07708681174993,151348221,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Lalezar Parkı,İSTANBUL,EYÜP SULTAN,KAĞITHANE,MERKEZ,28.967293550647074,41.07798512292492,151348322,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
M. Akif Ersoy Parkı,İSTANBUL,KARANFİL,KAĞITHANE,MERKEZ,28.96610201216233,41.078883434099914,151348318,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Kağıthane Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ALİBEY,KAĞITHANE,MERKEZ,28.963718723471427,41.07978174527491,151348336,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Şehit Hamza Ece İlkokulu Bahçesi,İSTANBUL,KUBAN,KAĞITHANE,MERKEZ,28.967293876387753,41.07978174527491,151348356,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
Kağıthane Meydanı,İSTANBUL,KUBAN,KAĞITHANE,MERKEZ,28.968485773196115,41.0806800564499,151348333,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
İBB Nurtepe Gezi Parkı,İSTANBUL,OSMANPAŞA,EYÜPSULTAN,GÜZELTEPE,28.963719065537923,41.082476678799885,151347545,"[<POLYGON ((28.957 41.074, 28.957 41.073, 28.956 41.073, 28.956 41.073, 28.95...>]"
