tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İzzettin Köy Meydanı,İSTANBUL,NİHAL,ÇATALCA,İZZETTİN,28.480049659199583,41.189431511174995,151347063,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Nazlıgül Sokak Yeşil Alan,İSTANBUL,NİHAL,ÇATALCA,İZZETTİN,28.480049659199583,41.189431511174995,151347062,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Kaşif Sokak Spor Alanı,İSTANBUL,NİHAL,ÇATALCA,OKLALI,28.480049659199583,41.189431511174995,151347093,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Oklalı Meydanı,İSTANBUL,KEREM ÇIKMAZI,ÇATALCA,OKLALI,28.477663612550835,41.193024755874966,151347094,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Yedievler Sokak Spor Alanı,İSTANBUL,SİVRİKAYA,ÇATALCA,SUBAŞI,28.476471801766166,41.19841462292492,151347088,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Akkaya Sokak Spor Alanı,İSTANBUL,SİVRİKAYA,ÇATALCA,SUBAŞI,28.48005531158788,41.202906178799886,151347089,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Kestanelik Mahallesi Spor Alanı,İSTANBUL,KUŞLAR YAYLASI,ÇATALCA,KESTANELİK,28.482443635381017,41.20380448997488,151347080,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Çanakça Köy Meydanı,İSTANBUL,GÜNGÖR,ÇATALCA,ÇANAKÇA,28.475291638713003,41.2379403146246,151347090,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Çanakça Spor Alanı,İSTANBUL,GÜNGÖR,ÇATALCA,ÇANAKÇA,28.47290523691407,41.24692342637453,151347091,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
Karacaköy Caddesi Spor Alanı,İSTANBUL,BAHÇEDERE,ÇATALCA,DAĞYENİCE,28.47051645413474,41.24961835989951,151347066,"[<POLYGON ((28.487 41.2, 28.487 41.203, 28.487 41.205, 28.488 41.206, 28.487 ...>]"
