tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
GENÇLİK PARKI,KOCAELİ,HİSAR,ÇAYIROVA,CUMHURİYET,29.36017724752909,40.87377551117499,63178460,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
AKSU PARKI,KOCAELİ,HİSAR,ÇAYIROVA,CUMHURİYET,29.36017724752909,40.87377551117499,63178441,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
HANİFE SOYKAN ORTAOKULU,KOCAELİ,HİSAR,ÇAYIROVA,CUMHURİYET,29.36017724752909,40.87377551117499,59160966,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Necip Fazıl Kısakürek Parkı.,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.354237948017236,40.875572133524976,151349498,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Oruç Reis İlköğretim Okulu Bahçesi,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.354237948017236,40.875572133524976,151349503,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Muhtarlık Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,KARADENİZ,TUZLA,ORHANLI,29.35899008402037,40.875572133524976,151349507,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Anıt Park,İSTANBUL,KARADENİZ,TUZLA,ORHANLI,29.36136660341878,40.87647044469997,151349505,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Sedef Parkı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.353050591127012,40.87736875587496,151349500,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Ceren Parkı,İSTANBUL,DEMOKRASİ,TUZLA,MESCİT,29.3554267236153,40.87736875587496,151349604,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Konaşlı Parkı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.34948697282769,40.87916537822495,151349497,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Hacet Deresi Mesire Alanı,İSTANBUL,AYDINLI YOLU,TUZLA,AYDINLI,29.348299148449218,40.88006368939994,151349502,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Orta Mahalle Orman Arazisi,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.37443829884535,40.88096200057493,151349509,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Orta Mahalle Pazar Alanı,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.37681522147815,40.881860311749925,151349510,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
İshakpaşa Parkı,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.378004045653306,40.88275862292492,151349508,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Kültür Parkı,İSTANBUL,DEMOKRASİ,TUZLA,ORHANLI,29.351865427507924,40.885453556449896,151349506,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Gençlik Parkı,İSTANBUL,DEMOKRASİ,TUZLA,ANADOLU,29.369694809341656,40.895334979374816,151349541,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Lokman Hekim Camii Yanı Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,SANAYİ,29.33047836507012,40.90611471347473,151350290,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Okul Parkı Ve Bahçesi,İSTANBUL,FETTAH BAŞARAN,TUZLA,FATİH,29.332855594724812,40.90701302464972,151349573,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Köroğlu Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,HARMANDERE,29.329289814828076,40.907911335824714,151350242,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Berrak Sitesi Yanı Çocuk Parkı,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,HARMANDERE,29.329289814828076,40.907911335824714,151350244,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Vehbi Koç Üniversitesi Futbol Sahası,İSTANBUL,KAYALAR,TUZLA,TEPEÖREN,29.35900518553001,40.907911335824714,151349560,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
Harmandere Site Sokak Parkı,İSTANBUL,ŞEHİT MEHMET GÜNEY,PENDİK,HARMANDERE,29.338800914070237,40.921386003449605,151350243,"[<POLYGON ((29.337 40.924, 29.337 40.919, 29.335 40.916, 29.336 40.914, 29.33...>]"
