tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ergenekon İbrahim Şakir İlkokulu Bahçesi,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.160857282880816,40.897956911174994,151348361,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Marmara  Üniversitesi Mehmet Genç Külliyesi Bahçesi,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.160857282880816,40.897956911174994,151348557,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Atalar Temel Eğitim Tesisi Alanı,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.160857282880816,40.897956911174994,151348358,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Kardelen Parkı,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.163234493692627,40.89885522234999,151348364,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Şehit Abdullah Horuz Parkı,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.15729249153348,40.89975353352498,151348562,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Çakabey İmam Hatip Ortaokulu Bahçesi,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.15848095975432,40.89975353352498,151348554,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Dragos Parkı,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.147784874894466,40.90065184469997,151348555,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Yalı Aile Sağlığı Merkezi,İSTANBUL,BAĞIMSIZLIK,MALTEPE,YALI,29.147784874894466,40.90065184469997,151348661,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Nihat Erim İlkokulu Ek Bina Bahçesi,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.156104507552644,40.901550155874965,151348561,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Fethiye Caddesi Yanı,İSTANBUL,TURGUT ÖZAL,KARTAL,ORHANTEPE,29.143031066583756,40.90244846704996,151348556,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Meteoroloji Bahçe ve Otoparkı,İSTANBUL,NİLÜFER,KARTAL,ORHANTEPE,29.15729352462561,40.90334677822495,151348559,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Kartal Belediyesi Yeni Halı Saha,İSTANBUL,ŞEHİT HAKAN KURBAN,KARTAL,ATALAR,29.163236188571116,40.90334677822495,151348365,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Leylak Sokak Parkı 2,İSTANBUL,SAHİL YOLU,MALTEPE,YALI,29.14065409786598,40.90424508939994,151348659,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Şehit Murat Naiboğlu İmam Hatip Ortaokulu Bahçesi,İSTANBUL,SAHİL YOLU,MALTEPE,YALI,29.140654130155223,40.905143400574936,151348660,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Leylak Sokak Parkı-1,İSTANBUL,SAHİL YOLU,MALTEPE,YALI,29.141842743668896,40.90604171174993,151348654,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,TEKEL,KARTAL,ORHANTEPE,29.159671752642918,40.90694002292492,151348560,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Şehit Timur Aktemur Ortaokulu Bahçesi,İSTANBUL,ŞEHİT HAKAN KURBAN,KARTAL,ATALAR,29.165615110864888,40.907838334099914,151348369,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Kemal Bayraktar Parkı,İSTANBUL,SARAYLAR,KARTAL,CEVİZLİ,29.163238222931614,40.90873664527491,151348453,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Cevizli Ortaokulu Bahçesi,İSTANBUL,SARAYLAR,KARTAL,CEVİZLİ,29.164426852595025,40.90873664527491,151348447,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Burak Bora Parkı,İSTANBUL,SARAYLAR,KARTAL,CEVİZLİ,29.164426852595025,40.90873664527491,151348446,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Komşuluk ve Dayanışma Meydanı,İSTANBUL,KEBAN,KARTAL,ORHANTEPE,29.165615482258435,40.90873664527491,151348558,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Şehit Astsubay Ömer Halis Demir Parkı,İSTANBUL,SARAYLAR,KARTAL,CEVİZLİ,29.159672624610376,40.9096349564499,151348455,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Gürbüz Bora İlköğretim Okulu Bahçesi,İSTANBUL,SARAYLAR,KARTAL,CEVİZLİ,29.165615853668815,40.9096349564499,151348449,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Cevizli Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ŞEHİT HAKAN KURBAN,KARTAL,ATALAR,29.169181791103878,40.9096349564499,151348359,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
Cevizli İstasyon Cami Bahçesi,İSTANBUL,BAĞIMSIZLIK,MALTEPE,YALI,29.153729605489012,40.91053326762489,151348657,"[<POLYGON ((29.164 40.903, 29.164 40.903, 29.164 40.904, 29.165 40.904, 29.16...>]"
