tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Orta Mahalle Orman Arazisi,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.37906746346531,40.883502511174996,151349509,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Orta Mahalle Pazar Alanı,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.37906746346531,40.883502511174996,151349510,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
İshakpaşa Parkı,İSTANBUL,ÜNİVERSİTE,TUZLA,ORTA ,29.37906746346531,40.883502511174996,151349508,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Anıt Park,İSTANBUL,İRFAN,TUZLA,ORHANLI,29.376691368822215,40.88529913352498,151349505,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Cemil Türker Ortaokulu Bahçesi,İSTANBUL,ATAYOLU,TUZLA,TEPEÖREN,29.389762276376914,40.88709575587497,151440854,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Tepeören Mahallesi Kültür Merkezi ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ATAYOLU,TUZLA,TEPEÖREN,29.39332770872864,40.88889237822495,151440853,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Tepeören Sağlık Ocağı Bahçesi,İSTANBUL,HİDAYET,TUZLA,TEPEÖREN,29.399270381111197,40.89158731174993,151441294,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Gençlik Parkı,İSTANBUL,DEMOKRASİ,TUZLA,ANADOLU,29.36956250440317,40.896078867624894,151349541,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Kudret Parkı,İSTANBUL,ATAYOLU,TUZLA,TEPEÖREN,29.388578101642054,40.899672112324865,151349556,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Ulubey Sokak Parkı,İSTANBUL,DEMOKRASİ,TUZLA,TEPEÖREN,29.380259722166805,40.90416366819983,151349559,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
Eski Ankara Asfaltı Caddesi Parkı,İSTANBUL,ÖZVATAN,TUZLA,TEPEÖREN,29.38382559059974,40.90506197937482,151349555,"[<POLYGON ((29.379 40.883, 29.38 40.883, 29.381 40.884, 29.383 40.885, 29.386...>]"
