tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kocatepe İlkokulu Bahçesi.,İSTANBUL,ESKİ BELEDİYE,KAĞITHANE,TELSİZLER,29.000861743029137,41.07566641117499,151348212,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Şehit Polis Hasan Koçer Parkı,İSTANBUL,MİMOZA ÇIKMAZI,KAĞITHANE,ORTABAYIR,29.000861743029137,41.07566641117499,151348222,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Sadabad Anadolu Lisesi Bahçesi,İSTANBUL,ESKİ BELEDİYE,KAĞITHANE,TELSİZLER,29.000861743029137,41.07566641117499,151348213,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Selahattin Eyyubi İlköğretim Okulu Bahçesi,İSTANBUL,GALATA DERESİ,ŞİŞLİ,GÜLBAHAR,29.002053386058275,41.07566641117499,151350653,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
NEF İlkokulu Bahçesi,İSTANBUL,AKDERE,KAĞITHANE,ORTABAYIR,29.00443667211655,41.07566641117499,151348223,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Yaşar Kemal Parkı,İSTANBUL,DEREBOYU,ŞİŞLİ,ESENTEPE,29.00443667211655,41.07566641117499,151350574,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Cengizhan Anadolu Lisesi Bahçesi,İSTANBUL,DUTLUK,KAĞITHANE,ÇELİKTEPE,29.00324517565691,41.07836134469997,151348272,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Cengizhan Ortaokulu Bahçesi,İSTANBUL,SARIGÖL,KAĞITHANE,ÇELİKTEPE,29.005628640863062,41.079259655874964,151348269,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Çeliktepe Aydınlar Cami Yanı Otoparkı,İSTANBUL,SARIGÖL,KAĞITHANE,ÇELİKTEPE,29.006820349035674,41.079259655874964,151348268,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Osman Faruk Verimer İlkokulu Bahçesi,İSTANBUL,DUTLUK,KAĞITHANE,ÇELİKTEPE,29.000861824460323,41.080157967049956,151348271,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
Kardelen Parkı,İSTANBUL,DUTLUK,KAĞITHANE,ÇELİKTEPE,29.000861824460323,41.080157967049956,151348266,"[<POLYGON ((29.006 41.082, 29.005 41.082, 29.005 41.082, 29.005 41.081, 29.00...>]"
