tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Beykoz Çayırı Ek 1,İSTANBUL,DOĞUKAPISI,BEYKOZ,ORTAÇEŞME,29.085633442997874,41.14175111117499,151346502,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Çamlıbahçe Parkı ve Civarı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.085633442997874,41.14175111117499,151346503,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
473/1 Yerde Bulunan Pazar Alanı,İSTANBUL,DOĞUKAPISI,BEYKOZ,YALIKÖY,29.085633442997874,41.14175111117499,151346573,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Şehit Er Murat Güler Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.085633459337032,41.14264942234998,151346494,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Ortaçeşme Camii Bahçesi,İSTANBUL,ÇAYIR,BEYKOZ,ORTAÇEŞME,29.086826318674063,41.14264942234998,151346506,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Palamar Çeşmesi Parkı,İSTANBUL,SEDİR,BEYKOZ,ORTAÇEŞME,29.089212102707712,41.143547733524976,151346508,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Şahinkaya İlkokulu Bahçesi,İSTANBUL,HÜNKARTEPE,BEYKOZ,MERKEZ,29.09159785406157,41.143547733524976,151346488,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Şehit Polis Kamil Genç Parkı,İSTANBUL,HÜNKARTEPE,BEYKOZ,MERKEZ,29.09159785406157,41.143547733524976,151346484,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Özel Gülşen Apaydın Anaokulu Bahçesi,İSTANBUL,HÜNKARTEPE,BEYKOZ,MERKEZ,29.09636935676928,41.143547733524976,151346487,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Cevizlibahçe Parkı,İSTANBUL,FİNAL,BEYKOZ,ORTAÇEŞME,29.097562412193238,41.14444604469997,151346501,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Akbaba Caddesi Parkı,İSTANBUL,AKPINAR,BEYKOZ,ORTAÇEŞME,29.090405141794744,41.14534435587496,151346500,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Ortaçeşme Anıtı,İSTANBUL,YARBAY YUKICHI TSUMURA,BEYKOZ,ORTAÇEŞME,29.08682644940214,41.146242667049954,151346505,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
0/435-14-15 Parsellerde Bulunan İBB'ye Ait Boş Alan,İSTANBUL,EMİN ALİ GÜRKAN,BEYKOZ,TOKATKÖY,29.095176922309623,41.146242667049954,151346497,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Ortaçeşme Meydan Parkı,İSTANBUL,ALPARSLAN,BEYKOZ,ÇAMLIBAHÇE,29.086826482087858,41.14714097822495,151346507,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Şehit Adil Doğan İlköğretim Okulu Bahçesi,İSTANBUL,AKBABA,BEYKOZ,TOKATKÖY,29.0927911873075,41.14714097822495,151439803,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Akbaba Köy Parkı,İSTANBUL,AKBABA,BEYKOZ,AKBABA,29.101141774615,41.14714097822495,151346634,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
Çamlıbahçe Parkı,İSTANBUL,AYDIN REİS,BEYKOZ,ÇAMLIBAHÇE,29.086826514775062,41.14803928939994,151346493,"[<POLYGON ((29.095 41.149, 29.094 41.149, 29.094 41.149, 29.093 41.149, 29.09...>]"
