tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Oruç Reis Ortaokulu Bahçesi,İSTANBUL,GAZİ,ESENLER,ORUÇREİS,28.85760262467921,41.05542221117499,151439652,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Oruç Reis İlkokulu Bahçesi,İSTANBUL,GAZİ,ESENLER,ORUÇREİS,28.85760262467921,41.05542221117499,151347339,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Gazi Caddesi Parkı ve Çevresi,İSTANBUL,ÇİNÇİN DERE,ESENLER,BİRLİK,28.85760262467921,41.05542221117499,151347360,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Alaattin Kadayıfçıoğlu Parkı ve Çevresi,İSTANBUL,GAZİ,ESENLER,TUNA,28.85998517714713,41.05542221117499,151347290,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Şehit Emrah Sağaz İlkokulu Bahçesi ve Gazi Şenol Parkı,İSTANBUL,GAZİ,ESENLER,TUNA,28.86117645338109,41.05542221117499,151347286,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Ulubatlı Hasan Parkı,İSTANBUL,BARBAROS,BAĞCILAR,100. YIL,28.856411657539887,41.056320522349985,151346048,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Nilüfer Kadayıfçıoğlu Parkı,İSTANBUL,YANYOL,BAĞCILAR,KEMALPAŞA,28.855220657877588,41.05721883352498,151346033,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
15 Temmuz Millet Bahçesi  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,İPEKYOLU,ESENLER,15 TEMMUZ,28.87904683329713,41.05721883352498,151347359,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Güneştepe Camii Bahçesi Güneştepe Parkı,İSTANBUL,MEHMET AKİF İNAN,ESENLER,KEMER,28.87904683329713,41.05721883352498,151347316,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Kemer Mahallesi Yeşil Alan (Hal Kavşağı Karşısı),İSTANBUL,MEHMET AKİF İNAN,ESENLER,KEMER,28.87904683329713,41.05721883352498,151347321,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Esenler EROKSPOR Stadyumu  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,MEHMET AKİF İNAN,ESENLER,KEMER,28.88023814206811,41.05721883352498,151347318,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Bayrampaşa Şehir Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ŞEHİR PARKI,BAYRAMPAŞA,YILDIRIM,28.88381206838104,41.05721883352498,151346402,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Havaalanı Bölge Parkı,İSTANBUL,İPEKYOLU,ESENLER,HAVAALANI,28.876664801461253,41.05811714469997,151347276,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
Özel Devran Koleji Bahçesi,İSTANBUL,MEHMET AKİF İNAN,ESENLER,KEMER,28.876664801461253,41.05811714469997,151429541,"[<POLYGON ((28.855 41.056, 28.856 41.056, 28.859 41.055, 28.859 41.055, 28.86...>]"
