tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kadıköy Anadolu Lisesi Bahçesi ve Boş Arazi,İSTANBUL,PROF. VEHBİ SARIDAL,KADIKÖY,CAFERAĞA,29.031859979683556,40.983870111174994,151348038,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Saint Joseph Fransız Lisesi Bahçesi,İSTANBUL,PROF. VEHBİ SARIDAL,KADIKÖY,CAFERAĞA,29.031859979683556,40.983870111174994,151348039,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Kuşdili İspark Otoparkı,İSTANBUL,PROF. VEHBİ SARIDAL,KADIKÖY,OSMANAĞA,29.031859979683556,40.983870111174994,151348062,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
23 Nisan Parkı (İNTAŞ),İSTANBUL,DERE BOYU GEZİNME YOLU,KADIKÖY,ZÜHTÜPAŞA,29.034240237085807,40.98566673352498,151348089,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Bahariye Altıyol Boğa Karşısı Park,İSTANBUL,HALİL ETHEM,KADIKÖY,OSMANAĞA,29.029480257213855,40.98656504469997,151348063,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Söğütlüçeşme Marmaray İstasyonu Fenerbahçe Stadı Tarafı Yeşil Alan ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YOĞURTÇU PARKI,KADIKÖY,OSMANAĞA,29.03424038298494,40.98656504469997,151348181,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Gazi Mustafa Kemal Paşa Ortaokulu Bahçesi,İSTANBUL,KALFAOĞLU,KADIKÖY,OSMANAĞA,29.029480419335,40.98836166704996,151348061,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
İhsan Sungu İlkokulu Bahçesi,İSTANBUL,SÖĞÜTLÜÇEŞME,KADIKÖY,RASİMPAŞA,29.030670483201998,40.98836166704996,151348118,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Söğütlüçeşme Kapalı Otoparkı,İSTANBUL,SÖĞÜTLÜÇEŞME,KADIKÖY,RASİMPAŞA,29.033050610935998,40.98836166704996,151348119,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Şair Nefi Parkı,İSTANBUL,YASA,KADIKÖY,CAFERAĞA,29.024720212508846,40.991056600574936,151348036,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
Eski İstasyon Binası Önü Otopark,İSTANBUL,MİSAK-I MİLLİ,KADIKÖY,RASİMPAŞA,29.024720228724266,40.99195491174993,151348120,"[<POLYGON ((29.033 40.992, 29.032 40.992, 29.031 40.991, 29.031 40.991, 29.03...>]"
