tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cemal Yamaner Parkı,İSTANBUL,ALAÇATI,ÇATALCA,OVAYENİCE,28.420820233877247,41.07610591117499,151347024,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Gazi Atatürk Meydanı,İSTANBUL,ALAÇATI,ÇATALCA,OVAYENİCE,28.420820233877247,41.07610591117499,151347107,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Lodos Sokak Parkı,İSTANBUL,ALAÇATI,BÜYÜKÇEKMECE,CELALİYE,28.420820233877247,41.07610591117499,151346901,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Celaliye İstasyon Caddesi Parkı,İSTANBUL,ALAÇATI,BÜYÜKÇEKMECE,CELALİYE,28.423203535870027,41.07610591117499,151439877,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Fırın Sokak Parkı,İSTANBUL,AYVAZ 1,BÜYÜKÇEKMECE,KAMİLOBA,28.44346160280865,41.07610591117499,151346926,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Köyiçi Parkı,İSTANBUL,AYVAZ 1,BÜYÜKÇEKMECE,KAMİLOBA,28.44346160280865,41.07610591117499,151346927,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Kamiloba Stadı,İSTANBUL,AYVAZ 1,BÜYÜKÇEKMECE,KAMİLOBA,28.44346160280865,41.07610591117499,151346929,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Celaliye Halk Akademisi Bahçesi ( Aynı Zamanda TRANSFER ALANDIRI.),İSTANBUL,PAŞAEVİ,BÜYÜKÇEKMECE,CELALİYE,28.425587456697397,41.077004222349984,151346900,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Zeytinsuyu Parkı,İSTANBUL,AYVAZ 1,BÜYÜKÇEKMECE,KAMİLOBA,28.444654133201563,41.077004222349984,151439922,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Ferhan Gülan Parkı,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.39222109853969,41.07880084469997,151349159,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Hümayun Caddesi İletişim Noktası Park Alanı,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.39222109853969,41.07880084469997,151349158,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Ortaköy Futbol Sahası.,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.39222109853969,41.07880084469997,151349157,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Muratbey Köy Meydanı,İSTANBUL,NACİ,ÇATALCA,MURATBEY MERKEZ,28.455384269246085,41.08149577822495,151347083,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Bilir Caddesi Yeşil Alan,İSTANBUL,NACİ,ÇATALCA,MURATBEY MERKEZ,28.455384269246085,41.08149577822495,151347082,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Altınbaş Sokak Spor Alanı,İSTANBUL,BEREKET,ÇATALCA,ÇAKIL,28.444661169809148,41.084190711749926,151347025,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Elbasan Köy Meydanı,İSTANBUL,BAKİ,ÇATALCA,ELBASAN,28.418450488784753,41.0994620017248,151347108,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Pazar Alanı(Kadıköy Caddesi),İSTANBUL,BAKİ,ÇATALCA,ELBASAN,28.412492757136874,41.10485186877476,151347059,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,KADIKÖY,SİLİVRİ,KADIKÖY,28.3886514773559,41.12191978109962,151349093,"[<POLYGON ((28.444 41.076, 28.445 41.076, 28.446 41.077, 28.447 41.077, 28.45...>]"
