tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Orman Bölge Müdürlüğü Otoparkı,İSTANBUL,BÜYÜKDERE,SARIYER,MASLAK,29.026311027086305,41.138703411174994,151440379,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Bora Sürücü Kursu,İSTANBUL,TARABYA BAYIRI,SARIYER,TARABYA,29.026311027086305,41.138703411174994,151348904,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Hoşgörü Parkı,İSTANBUL,TARABYA BAYIRI,SARIYER,TARABYA,29.026311027086305,41.138703411174994,151348900,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Sevgi Parkı,İSTANBUL,ARABA YOLU,SARIYER,TARABYA,29.027505334032632,41.14139834469997,151348901,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Selimiye Caddesi Toplanma Alanı,İSTANBUL,HACI OSMAN BAYIRI,SARIYER,CUMHURİYET,29.023927281775794,41.142296655874965,151348825,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Fahrettin Aslan Ortaokulu Bahçesi,İSTANBUL,HACI OSMAN BAYIRI,SARIYER,CUMHURİYET,29.02512060854491,41.14319496704996,151348828,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Hacıosman İmam Hüseyin Cemevi Bahçesi,İSTANBUL,HACI OSMAN BAYIRI,SARIYER,CUMHURİYET,29.027507360189716,41.14499158939994,151348824,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Zübeyde Hanım İlkokulu Bahçesi,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,PTT EVLERİ,29.020350357085913,41.145889900574936,151348880,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Uğur Mumcu Parkı,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,PTT EVLERİ,29.012000223268085,41.14678821174993,151348879,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
PTT Evleri Çaykur,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,29.012000223268085,41.14678821174993,151348859,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
İBB Fidanlığı Yeşil Alan,İSTANBUL,BAHÇEKÖY,SARIYER,ÇAYIRBAŞI,29.02631641940106,41.148584834099914,151348972,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Çayırbaşı Stadı,İSTANBUL,BAHÇEKÖY,SARIYER,ÇAYIRBAŞI,29.023931857799237,41.15127976762489,151348846,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Yeniyol Sokak Parkı,İSTANBUL,HACI OSMAN BAYIRI,SARIYER,CUMHURİYET,29.0298969395491,41.15127976762489,151348821,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Mehmet Akif Milli Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,29.007230086626468,41.15307638997488,151348973,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Okul Önü Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,ÇAYIRBAŞI,29.029898018476672,41.15307638997488,151348845,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Fatoş Sokak Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,29.023933231010968,41.15397470114987,151348857,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Sarıyer Belediyesi Bahçesi (Eski Belediye Binası),İSTANBUL,DEMOKRASİ ŞEHİTLERİ,SARIYER,BÜYÜKDERE,29.037056950336705,41.15397470114987,151348864,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Mehmet İpgin İlkokulu Bahçesi/Ortaokulu Bahçesi,İSTANBUL,DEMOKRASİ ŞEHİTLERİ,SARIYER,BÜYÜKDERE,29.037056950336705,41.15397470114987,151348860,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Karadeniz Mahallesi Parkı,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,29.003651838741273,41.15756794584984,151348966,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Özel Açı Okulları Bahçesi,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,29.00245887146868,41.158466257024834,151348967,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Salih Kavras Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,BAHÇEKÖY YENİ,29.0048463433082,41.16385612407479,151348961,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Pelit Sokak Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,BAHÇEKÖY YENİ,29.004846539596965,41.16475443524978,151348962,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
Özel Yüzyıl Işıl İlkokulu Bahçesi,İSTANBUL,MAREŞAL FEVZİ ÇAKMAK,SARIYER,BAHÇEKÖY KEMER,28.991720694350104,41.16655105759977,151348968,"[<POLYGON ((29.028 41.156, 29.028 41.156, 29.027 41.156, 29.026 41.157, 29.02...>]"
